"OA","OAtype","OC","OCtype","aerosol","aerosoltype","month","station","lat","lon","obs_OC","obs_lbnd","obs_ubnd"
166.201923144802,"TOA",93.5139629612024,"TOC",0.166201923144802,"TOC",6,"New Caledonia",-23,171.25,480,NA,NA
43.3996129997414,"MOA",24.1108961109675,"MOC",0.0433996129997414,"MOA",1,"Finokalia",35.33,25.67,1400,700,2110
314.488374020895,"SOA",165.520196853103,"SOC",0.314488374020895,"SOA",1,"Finokalia",35.33,25.67,1400,700,2110
223.508991932853,"POA",159.649279952038,"POC",0.223508991932853,"POA",1,"Finokalia",35.33,25.67,1400,700,2110
581.39697895349,"TOA",349.280372916108,"TOC",0.58139697895349,"TOC",1,"Finokalia",35.33,25.67,1400,700,2110
56.4133786099885,"MOA",31.3407658944381,"MOC",0.0564133786099885,"MOA",2,"Finokalia",35.33,25.67,1430,890,1970
379.006573516878,"SOA",199.477143956252,"SOC",0.379006573516878,"SOA",2,"Finokalia",35.33,25.67,1430,890,1970
276.473109915288,"POA",197.480792796634,"POC",0.276473109915288,"POA",2,"Finokalia",35.33,25.67,1430,890,1970
711.893062042155,"TOA",428.298702647324,"TOC",0.711893062042155,"TOC",2,"Finokalia",35.33,25.67,1430,890,1970
44.7456288628624,"MOA",24.8586827015902,"MOC",0.0447456288628624,"MOA",3,"Finokalia",35.33,25.67,1490,780,2200
566.612192924202,"SOA",298.216943644317,"SOC",0.566612192924202,"SOA",3,"Finokalia",35.33,25.67,1490,780,2200
385.798536869257,"POA",275.570383478041,"POC",0.385798536869257,"POA",3,"Finokalia",35.33,25.67,1490,780,2200
997.156358656321,"TOA",598.646009823948,"TOC",0.997156358656321,"TOC",3,"Finokalia",35.33,25.67,1490,780,2200
44.3794815137565,"MOA",24.6552675076425,"MOC",0.0443794815137565,"MOA",4,"Finokalia",35.33,25.67,1900,1000,2800
778.971228986567,"SOA",409.984857361351,"SOC",0.778971228986567,"SOA",4,"Finokalia",35.33,25.67,1900,1000,2800
431.111013585298,"POA",307.936438275213,"POC",0.431111013585298,"POA",4,"Finokalia",35.33,25.67,1900,1000,2800
1254.46172408562,"TOA",742.576563144207,"TOC",1.25446172408562,"TOC",4,"Finokalia",35.33,25.67,1900,1000,2800
55.3932331526654,"MOA",30.7740184181475,"MOC",0.0553932331526654,"MOA",5,"Finokalia",35.33,25.67,1660,950,2380
1198.36272961674,"SOA",630.717226114072,"SOC",1.19836272961674,"SOA",5,"Finokalia",35.33,25.67,1660,950,2380
474.995957067663,"POA",339.282826476902,"POC",0.474995957067663,"POA",5,"Finokalia",35.33,25.67,1660,950,2380
1728.75191983707,"TOA",1000.77407100912,"TOC",1.72875191983707,"TOC",5,"Finokalia",35.33,25.67,1660,950,2380
75.7756699098943,"MOA",42.0975943943857,"MOC",0.0757756699098943,"MOA",6,"Finokalia",35.33,25.67,1340,670,2030
1831.74572167272,"SOA",964.076695617218,"SOC",1.83174572167272,"SOA",6,"Finokalia",35.33,25.67,1340,670,2030
677.898441869891,"POA",484.213172764208,"POC",0.677898441869891,"POA",6,"Finokalia",35.33,25.67,1340,670,2030
2585.4198334525,"TOA",1490.38746277581,"TOC",2.5854198334525,"TOC",6,"Finokalia",35.33,25.67,1340,670,2030
78.2613242510496,"MOA",43.4785134728054,"MOC",0.0782613242510496,"MOA",7,"Finokalia",35.33,25.67,2120,1280,2990
2136.35743326518,"SOA",1124.39864908694,"SOC",2.13635743326518,"SOA",7,"Finokalia",35.33,25.67,2120,1280,2990
1026.31140951347,"POA",733.079578223908,"POC",1.02631140951347,"POA",7,"Finokalia",35.33,25.67,2120,1280,2990
3240.93016702971,"TOA",1900.95674078365,"TOC",3.24093016702971,"TOC",7,"Finokalia",35.33,25.67,2120,1280,2990
66.196554402529,"MOA",36.7758635569606,"MOC",0.066196554402529,"MOA",8,"Finokalia",35.33,25.67,2100,1530,2690
2124.16482131088,"SOA",1117.98148490046,"SOC",2.12416482131088,"SOA",8,"Finokalia",35.33,25.67,2100,1530,2690
1203.03183907371,"POA",859.30845648122,"POC",1.20303183907371,"POA",8,"Finokalia",35.33,25.67,2100,1530,2690
3393.39321478712,"TOA",2014.06580493864,"TOC",3.39339321478712,"TOC",8,"Finokalia",35.33,25.67,2100,1530,2690
42.1899898068057,"MOA",23.4388832260032,"MOC",0.0421899898068057,"MOA",9,"Finokalia",35.33,25.67,1800,1060,2560
1532.87162372022,"SOA",806.774538800116,"SOC",1.53287162372022,"SOA",9,"Finokalia",35.33,25.67,1800,1060,2560
887.66640820041,"POA",634.047434428864,"POC",0.88766640820041,"POA",9,"Finokalia",35.33,25.67,1800,1060,2560
2462.72802172744,"TOA",1464.26085645498,"TOC",2.46272802172744,"TOC",9,"Finokalia",35.33,25.67,1800,1060,2560
27.9287560359709,"MOA",15.5159755755394,"MOC",0.0279287560359709,"MOA",10,"Finokalia",35.33,25.67,1620,920,2340
637.008242295019,"SOA",335.267495944747,"SOC",0.637008242295019,"SOA",10,"Finokalia",35.33,25.67,1620,920,2340
467.692957170884,"POA",334.066397979203,"POC",0.467692957170884,"POA",10,"Finokalia",35.33,25.67,1620,920,2340
1132.62995550187,"TOA",684.849869499489,"TOC",1.13262995550187,"TOC",10,"Finokalia",35.33,25.67,1620,920,2340
29.224282911319,"MOA",16.2357127285105,"MOC",0.029224282911319,"MOA",11,"Finokalia",35.33,25.67,1880,1180,2610
400.255195383272,"SOA",210.66062914909,"SOC",0.400255195383272,"SOA",11,"Finokalia",35.33,25.67,1880,1180,2610
356.450003178418,"POA",254.607145127441,"POC",0.356450003178418,"POA",11,"Finokalia",35.33,25.67,1880,1180,2610
