"date","site","avg_cl","avg_na","avg_so4","avg_dust","avg_no3","avg_msa","avg_nh4","avg_ncl","avg_nssSO4","total_aerosol","month"
1990-08-01,"Bar_84-01_M_ng",9.888,5.49,2.544,17.089,0.559,0.0162,0.1505,16.4183092962454,1.162716,34.6700252962454,"AUG"
1990-09-01,"Bar_84-01_M_ng",7.483,4.089,1.974,14.951,0.581,0.0126,0.151,12.228500311903,0.9452076,28.124707911903,"SEP"
1990-10-01,"Bar_84-01_M_ng",10.695,5.738,2.198,17.567,0.466,0.0114,0.1198,17.1599742699192,0.7543192,35.4812934699192,"OCT"
1990-11-01,"Bar_84-01_M_ng",10.241,5.767,2.026,4.626,0.61,0.0104,0.0767,17.2467012224859,0.5750228,22.4477240224859,"NOV"
1990-12-01,"Bar_84-01_M_ng",10.457,5.857,1.963,1.249,0.431,0.0153,0.0403,17.5158538338997,0.4893788,19.2542326338997,"DEC"
1991-01-01,"Bar_84-01_M_ng",14.404,8.029,2.331,1.563,0.21,0.0113,0.0199,24.0114035226876,0.3109036,25.8853071226876,"JAN"
1991-02-01,"Bar_84-01_M_ng",11.51,6.396,2.056,2.242,0.363,0.0141,0.0469,19.1277789178116,0.4467664,21.8165453178116,"FEB"
1991-03-01,"Bar_84-01_M_ng",11.311,6.416,2.205,7.659,0.491,0.0194,0.069,19.1875906092369,0.5907344,27.4373250092369,"MAR"
1991-04-01,"Bar_84-01_M_ng",9.39,5.542,2.511,7.999,0.831,0.0303,0.2176,16.5738196939512,1.1166328,25.6894524939512,"APR"
1991-05-01,"Bar_84-01_M_ng",8.961,5.177,2.706,26.575,0.852,0.0263,0.1229,15.4822563254395,1.4034668,43.4607231254395,"MAY"
1991-06-01,"Bar_84-01_M_ng",10.086,5.806,2.512,21.25,0.699,0.0225,0.1223,17.3633340207652,1.0512104,39.6645444207652,"JUN"
1991-07-01,"Bar_84-01_M_ng",9.617,5.54,2.576,18.864,0.625,0.0254,0.1398,16.5678385248087,1.182136,36.6139745248087,"JUL"
1991-08-01,"Bar_84-01_M_ng",6.858,3.92,2.182,19.431,0.583,0.0238,0.1405,11.7230915193592,1.195728,32.3498195193592,"AUG"
1991-09-01,"Bar_84-01_M_ng",9.404,5.232,2.642,17.522,0.624,0.0206,0.167,15.646738476859,1.3256288,34.494367276859,"SEP"
1991-10-01,"Bar_84-01_M_ng",5.915,3.423,1.588,5.037,0.418,0.0173,0.1111,10.2367709874405,0.7267732,16.0005441874405,"OCT"
1991-11-01,"Bar_84-01_M_ng",9.597,5.674,1.817,1.037,0.271,0.0122,0.0282,16.9685768573582,0.3894216,18.3949984573582,"NOV"
1991-12-01,"Bar_84-01_M_ng",7.834,4.501,1.447,1.763,0.254,0.0166,0.0063,13.4606211552643,0.3145484,15.5381695552643,"DEC"
1992-01-01,"Bar_84-01_M_ng",9.918,5.688,1.86,1.901,0.471,0.0166,0.0539,17.0104450413559,0.4288992,19.3403442413559,"JAN"
1992-02-01,"Bar_84-01_M_ng",12.499,7.044,2.081,1.338,0.254,0.0152,0.0246,21.0656777199914,0.3087296,22.7124073199914,"FEB"
1992-03-01,"Bar_84-01_M_ng",8.659,5.168,2.05,5.702,0.453,0.019,0.0734,15.4553410642981,0.7497312,21.9070722642981,"MAR"
1992-04-01,"Bar_84-01_M_ng",11.435,6.919,2.683,11.567,0.794,0.022,0.1523,20.6918546485833,0.9421796,33.2010342485833,"APR"
1992-05-01,"Bar_84-01_M_ng",10.585,6.129,2.456,19.113,0.715,0.0192,0.1447,18.3292928372838,0.9139436,38.3562364372838,"MAY"
1992-06-01,"Bar_84-01_M_ng",14.377,8.459,3.248,32.827,0.754,0.0291,0.1479,25.2973548883316,1.1197156,59.2440704883316,"JUN"
1992-07-01,"Bar_84-01_M_ng",8.938,5.103,2.319,18.303,0.632,0.0262,0.3834,15.2609530671658,1.0350852,34.5990382671659,"JUL"
1992-08-01,"Bar_84-01_M_ng",8.238,4.683,2.281,12.501,0.587,0.0201,0.1378,14.0049075472345,1.1027572,27.6086647472345,"AUG"
1992-09-01,"Bar_84-01_M_ng",8.126,4.534,2.079,12.051,0.494,0.0145,0.1132,13.559310446116,0.9382456,26.548556046116,"SEP"
1992-10-01,"Bar_84-01_M_ng",7.222,4.162,1.86,15.981,0.591,0.0147,0.1196,12.4468129856054,0.8128408,29.2406537856054,"OCT"
1992-11-01,"Bar_84-01_M_ng",11.188,6.419,2.21,8.17,0.526,0.0157,0.0488,19.1965623629507,0.5949796,27.9615419629507,"NOV"
1992-12-01,"Bar_84-01_M_ng",14.518,8.352,2.651,3.889,0.623,0.0128,0.0687,24.9773623392062,0.5496368,29.4159991392062,"DEC"
1993-01-01,"Bar_84-01_M_ng",14.934,8.607,2.661,6.278,0.31,0.0102,0.0197,25.7399614048788,0.4954788,32.5134402048788,"JAN"
1993-02-01,"Bar_84-01_M_ng",8.71,4.845,1.82,5.989,0.53,0.0165,0.0736,14.4893822477794,0.600998,21.0793802477795,"FEB"
1993-03-01,"Bar_84-01_M_ng",11.489,6.579,2.289,12.222,0.478,0.0207,0.1107,19.6750558943531,0.6337236,32.5307794943531,"MAR"
1993-04-01,"Bar_84-01_M_ng",12.453,7.287,2.765,18.366,0.927,0.0225,0.1899,21.7923897708088,0.9315908,41.0899805708088,"APR"
1993-05-01,"Bar_84-01_M_ng",12.82,7.106,2.63,31.233,0.878,0.0199,0.1832,21.2510939634099,0.8421304,53.3262243634099,"MAY"
1993-06-01,"Bar_84-01_M_ng",13.659,7.928,2.936,23.368,0.757,0.0259,0.1724,23.7093544809898,0.9413152,48.0186696809898,"JUN"
1993-07-01,"Bar_84-01_M_ng",11.063,6.203,2.689,27.261,0.61,0.0205,0.1176,18.5505960955575,1.1283252,46.9399212955575,"JUL"
1993-08-01,"Bar_84-01_M_ng",8.525,4.81,2.124,13.939,0.503,0.0195,0.106,14.3847117877852,0.913804,29.2375157877852,"AUG"
1993-09-01,"Bar_84-01_M_ng",8.104,4.706,1.871,13.506,0.517,0.0192,0.1136,14.0736909923736,0.6869704,28.2666613923736,"SEP"
1993-10-01,"Bar_84-01_M_ng",8.965,5.241,1.87,8.116,0.418,0.017,0.0983,15.6736537380004,0.5513644,24.3410181380004,"OCT"
1993-11-01,"Bar_84-01_M_ng",10.076,5.884,1.779,0.527,0.243,0.0154,0.0409,17.5965996173239,0.2985856,18.4221852173239,"NOV"
1993-12-01,"Bar_84-01_M_ng",10.444,6.108,2.058,4.667,0.605,0.0159,0.0815,18.2664905612873,0.5212272,23.4547177612873,"DEC"
1994-01-01,"Bar_84-01_M_ng",13.268,7.383,2.226,3.239,0.315,0.0123,0.0519,22.0794858896503,0.3684372,25.6869230896503,"JAN"
1994-02-01,"Bar_84-01_M_ng",16.129,9.018,2.835,9.175,0.609,0.0167,0.104,26.9690916636687,0.5660712,36.7101628636687,"FEB"
1994-03-01,"Bar_84-01_M_ng",9.516,5.361,2.128,6.923,0.597,0.0201,0.1256,16.0325238865522,0.7791724,23.7346962865522,"MAR"
1994-04-01,"Bar_84-01_M_ng",11.126,6.105,2.709,28.775,0.754,0.0217,0.1259,18.2575188075735,1.172982,48.2055008075735,"APR"
1994-05-01,"Bar_84-01_M_ng",13.557,7.62,2.72,17.184,0.766,0.0198,0.1323,22.7882544330401,0.802808,40.7750624330401,"MAY"
1994-06-01,"Bar_84-01_M_ng",11.661,6.538,2.482,21.837,0.595,0.0239,0.1092,19.5524419269313,0.8370392,42.2264811269313,"JUN"
1994-07-01,"Bar_84-01_M_ng",11.611,6.72,2.955,19.437,0.626,0.026,0.1396,20.0967283189015,1.264248,40.7979763189015,"JUL"
1994-08-01,"Bar_84-01_M_ng",8.431,5.048,2.163,13.669,0.505,0.0221,0.1308,15.0964709157463,0.8929232,29.6583941157463,"AUG"
1994-09-01,"Bar_84-01_M_ng",10.092,5.97,2.401,14.096,0.567,0.0172,0.1138,17.8537898904527,0.898948,32.8487378904527,"SEP"
1994-10-01,"Bar_84-01_M_ng",8.616,5.131,1.781,2.265,0.59,0.0173,0.1199,15.3446894351613,0.4900404,18.0997298351613,"OCT"
1994-11-01,"Bar_84-01_M_ng",10.568,6.344,2.274,6.679,0.945,0.0155,0.1542,18.9722685201058,0.6778496,26.3291181201058,"NOV"
1994-12-01,"Bar_84-01_M_ng",13.324,7.705,2.414,5.562,0.623,0.0137,0.1385,23.0424541215977,0.475422,29.0798761215977,"DEC"
1995-01-01,"Bar_84-01_M_ng",11.725,6.674,2.28,4.589,0.652,0.0153,0.1519,19.9591614286233,0.6008216,25.1489830286233,"JAN"
1995-02-01,"Bar_84-01_M_ng",12.764,7.236,2.414,8.043,0.678,0.0146,0.1101,21.6398699576743,0.5934224,30.2762923576743,"FEB"
1995-03-01,"Bar_84-01_M_ng",9.982,5.719,1.887,1.964,0.391,0.015,0.1009,17.1031531630652,0.4480996,19.5152527630652,"MAR"
1995-04-01,"Bar_84-01_M_ng",9.906,5.86,2.554,2.654,0.536,0.0246,0.1548,17.5248255876135,1.079624,21.2584495876135,"APR"
1995-05-01,"Bar_84-01_M_ng",8.826,5.051,2.753,9.579,0.987,0.0293,0.2867,15.1054426694601,1.4821684,26.1666110694601,"MAY"
1995-06-01,"Bar_84-01_M_ng",11.862,6.489,2.778,20.989,0.86,0.0298,0.1559,19.4059032829393,1.1453676,41.5402708829393,"JUN"
1995-07-01,"Bar_84-01_M_ng",10.423,5.726,2.34,12.094,0.58,0.0251,0.1152,17.124087255064,0.8993384,30.117425655064,"JUL"
1995-08-01,"Bar_84-01_M_ng",9.593,5.405,2.541,12.774,0.557,0.0217,0.1448,16.1641096076879,1.181102,30.1192116076879,"AUG"
1995-09-01,"Bar_84-01_M_ng",9.426,5.154,2.128,15.214,0.587,0.0168,0.1791,15.4134728803004,0.8312536,31.4587264803004,"SEP"
1995-10-01,"Bar_84-01_M_ng",8.855,4.937,1.868,8.999,0.605,0.0147,0.1623,14.7645160283358,0.6258508,24.3893668283358,"OCT"
1995-11-01,"Bar_84-01_M_ng",8.146,4.306,1.712,7.87,0.652,0.0141,0.0985,12.8774571638676,0.6286104,21.3760675638676,"NOV"
1995-12-01,"Bar_84-01_M_ng",8.252,4.486,1.436,0.774,0.295,0.0149,0.0697,13.4157623866953,0.3073224,14.4970847866953,"DEC"
1996-01-01,"Bar_84-01_M_ng",13.625,7.812,2.265,0.818,0.496,NA,0.0975,23.362446670723,0.2995008,24.479947470723,"JAN"
1996-02-01,"Bar_84-01_M_ng",13.973,7.827,2.25,0.831,0.294,NA,0.0587,23.407305439292,0.2807268,24.519032239292,"FEB"
1996-03-01,"Bar_84-01_M_ng",12.841,6.934,2.424,1.341,0.424,NA,0.0922,20.7367134171523,0.6794056,22.7571190171523,"MAR"
1996-04-01,"Bar_84-01_M_ng",13.393,6.989,2.598,11.214,0.655,NA,0.1215,20.9011955685718,0.8395676,32.9547631685718,"APR"
1996-05-01,"Bar_84-01_M_ng",12.172,6.636,2.439,7.674,0.7,NA,0.1584,19.8455192149153,0.7693824,28.2889016149153,"MAY"
1996-06-01,"Bar_84-01_M_ng",12.807,7.014,2.651,17.684,0.679,NA,0.1531,20.9759601828535,0.8862776,39.5462377828535,"JUN"
1996-07-01,"Bar_84-01_M_ng",13.674,7.692,2.797,16.38,0.582,NA,0.1811,23.0035765221712,0.8616928,40.2452693221712,"JUL"
1996-08-01,"Bar_84-01_M_ng",8.144,4.273,1.852,11.293,0.555,NA,0.1277,12.7787678730158,0.7769132,24.8486810730158,"AUG"
1996-09-01,"Bar_84-01_M_ng",9.192,4.943,1.924,13.08,0.454,NA,0.0798,14.7824595357634,0.6803412,28.5428007357634,"SEP"
1996-10-01,"Bar_84-01_M_ng",9.97,5.416,1.938,9.817,0.421,NA,0.0962,16.1970060379718,0.5753344,26.5893404379718,"OCT"
1996-11-01,"Bar_84-01_M_ng",12.994,6.998,2.699,10.329,0.763,NA,0.1168,20.9281108297132,0.9383032,32.1954140297132,"NOV"
1996-12-01,"Bar_84-01_M_ng",12.188,7.444,2.359,1.033,0.507,NA,0.0632,22.2619115484975,0.4860896,23.7810011484975,"DEC"
1997-01-01,"Bar_84-01_M_ng",10.609,6.198,1.72,0.423,0.256,NA,0.0161,18.5356431727011,0.1605832,19.1192263727011,"JAN"
1997-02-01,"Bar_84-01_M_ng",23.133,12.434,3.598,12.275,0.579,NA,0.0605,37.1849285591104,0.4696056,49.9295341591104,"FEB"
1997-03-01,"Bar_84-01_M_ng",14.431,7.821,2.598,22.209,0.594,NA,0.0505,23.3893619318644,0.6302364,46.2285983318644,"MAR"
1997-04-01,"Bar_84-01_M_ng",9.555,5.202,2.206,3.778,0.778,NA,0.1527,15.5570209397211,0.8971768,20.2321977397211,"APR"
1997-05-01,"Bar_84-01_M_ng",11.297,6.439,2.347,12.591,0.805,NA,0.1424,19.256374054376,0.7269476,32.574321654376,"MAY"
1997-06-01,"Bar_84-01_M_ng",13.214,7.51,2.627,43.555,0.681,NA,0.0586,22.459290130201,0.737484,66.751774130201,"JUN"
1997-07-01,"Bar_84-01_M_ng",11.28,6.327,2.262,17.592,0.493,NA,0.0728,18.9214285823943,0.6701268,37.1835553823943,"JUL"
1997-08-01,"Bar_84-01_M_ng",8.074,4.53,1.854,13.269,0.492,NA,0.0737,13.5473481078309,0.714252,27.5306001078309,"AUG"
1997-09-01,"Bar_84-01_M_ng",8.739,4.878,1.983,20.884,0.554,NA,0.0893,14.5880715386312,0.7556952,36.2277667386312,"SEP"
1997-10-01,"Bar_84-01_M_ng",7.958,4.456,1.804,6.612,0.564,NA,0.118,13.3260448495573,0.6828704,20.6209152495573,"OCT"
1997-11-01,"Bar_84-01_M_ng",11.787,6.47,2.114,3.998,0.547,NA,0.0642,19.3490821760853,0.486148,23.8332301760853,"NOV"
1997-12-01,"Bar_84-01_M_ng",14.816,8.397,2.661,5.091,0.847,NA,0.1024,25.1119386449131,0.5483148,30.7512534449131,"DEC"
1998-01-01,"Bar_84-01_M_ng",15.82,8.915,2.656,6.513,0.725,NA,0.0727,26.6610614528284,0.412986000000001,33.5870474528284,"JAN"
1998-02-01,"Bar_84-01_M_ng",11.923,6.632,2.488,9.387,0.822,NA,0.1448,19.8335568766302,0.8193888,30.0399456766302,"FEB"
1998-03-01,"Bar_84-01_M_ng",15.756,8.721,3.031,17.272,0.797,NA,0.1068,26.080888046003,0.8367964,44.189684446003,"MAR"
1998-04-01,"Bar_84-01_M_ng",13.555,7.6,2.606,13.124,0.825,NA,0.1057,22.7284427416148,0.69384,36.5462827416148,"APR"
1998-05-01,"Bar_84-01_M_ng",10.8,6.278,2.333,24.445,0.734,NA,0.097,18.7748899384023,0.7534552,43.9733451384024,"MAY"
1998-06-01,"Bar_84-01_M_ng",12.739,7.351,2.769,33.807,0.689,NA,0.0903,21.9837871833698,0.9194884,56.7102755833698,"JUN"
1998-07-01,"Bar_84-01_M_ng",9.161,5.461,2.096,23.413,0.608,NA,0.0629,16.3315823436788,0.7220124,40.4665947436788,"JUL"
1998-08-01,"Bar_84-01_M_ng",8.414,4.56,2.179,18.384,0.595,NA,0.1186,13.6370656449689,1.031704,33.0527696449689,"AUG"
1998-09-01,"Bar_84-01_M_ng",8.256,4.395,1.96,19.035,0.509,NA,0.0697,13.1436191907102,0.854218,33.0328371907102,"SEP"
1998-10-01,"Bar_84-01_M_ng",13.421,7.282,2.616,13.906,0.529,NA,0.0368,21.7774368479525,0.7838488,36.4672856479525,"OCT"
1998-11-01,"Bar_84-01_M_ng",9.388,5.196,1.972,10.088,0.648,NA,0.0623,15.5390774322935,0.6646864,26.2917638322935,"NOV"
