month,site,site.long.name,lat,lon,MOA,TOA,BC,SO4,NCL,DST,smSS,total.aerosol
FEB,VX0079,ML039,36.927,236.258,0,0,0,0,0,0,3.04274843015e-10,0
MAR,VX0079,ML039,36.927,236.258,0,0,0,0,0,0,3.12394563823e-10,0
APR,VX0079,ML039,36.927,236.258,0,0,0,0,0,0,2.51826459903e-10,0
MAY,VX0079,ML039,36.927,236.258,0,0,0,0,0,0,2.28671262976e-10,0
JUN,VX0079,ML039,36.927,236.258,0,0,0,0,0,0,2.84247170263e-10,0
JUL,VX0079,ML039,36.927,236.258,0,0,0,0,0,0,2.00653727364e-10,0
AUG,VX0079,ML039,36.927,236.258,0,0,0,0,0,0,1.90070390567e-10,0
SEP,VX0079,ML039,36.927,236.258,0,0,0,0,0,0,1.38157718242e-10,0
OCT,VX0079,ML039,36.927,236.258,0,0,0,0,0,0,3.16902739221e-10,0
NOV,VX0079,ML039,36.927,236.258,0,0,0,0,0,0,3.17955182803e-10,0
DEC,VX0079,ML039,36.927,236.258,0,0,0,0,0,0,2.43629237855e-10,0
JAN,ML039,"RSMAS, Univ. of Miami: Whatman-41, Hi-Vol",36.793,279.75,0,0,0,0,0,0,4.7719150161e-11,0
FEB,ML039,"RSMAS, Univ. of Miami: Whatman-41, Hi-Vol",36.793,279.75,0,0,0,0,0,0,5.8744172652e-11,0
MAR,ML039,"RSMAS, Univ. of Miami: Whatman-41, Hi-Vol",36.793,279.75,0,0,0,0,0,0,4.35924938066e-11,0
APR,ML039,"RSMAS, Univ. of Miami: Whatman-41, Hi-Vol",36.793,279.75,0,0,0,0,0,0,3.38757137476e-11,0
MAY,ML039,"RSMAS, Univ. of Miami: Whatman-41, Hi-Vol",36.793,279.75,0,0,0,0,0,0,4.161000578e-11,0
JUN,ML039,"RSMAS, Univ. of Miami: Whatman-41, Hi-Vol",36.793,279.75,0,0,0,0,0,0,3.94167317154e-11,0
JUL,ML039,"RSMAS, Univ. of Miami: Whatman-41, Hi-Vol",36.793,279.75,0,0,0,0,0,0,5.22996784891e-11,0
AUG,ML039,"RSMAS, Univ. of Miami: Whatman-41, Hi-Vol",36.793,279.75,0,0,0,0,0,0,3.24275587899e-11,0
SEP,ML039,"RSMAS, Univ. of Miami: Whatman-41, Hi-Vol",36.793,279.75,0,0,0,0,0,0,5.94174782787e-11,0
OCT,ML039,"RSMAS, Univ. of Miami: Whatman-41, Hi-Vol",36.793,279.75,0,0,0,0,0,0,6.87961145954e-11,0
NOV,ML039,"RSMAS, Univ. of Miami: Whatman-41, Hi-Vol",36.793,279.75,0,0,0,0,0,0,9.1827154758e-11,0
DEC,ML039,"RSMAS, Univ. of Miami: Whatman-41, Hi-Vol",36.793,279.75,0,0,0,0,0,0,9.78195909079e-11,0
JAN,NOR1983-1997F,Azores,25.0,237.482,0,0,0,0,0,0,2.30953451777e-10,0
FEB,NOR1983-1997F,Azores,25.0,237.482,0,0,0,0,0,0,2.71556254607e-10,0
MAR,NOR1983-1997F,Azores,25.0,237.482,0,0,0,0,0,0,3.17171848142e-10,0
APR,NOR1983-1997F,Azores,25.0,237.482,0,0,0,0,0,0,2.85158073625e-10,0
MAY,NOR1983-1997F,Azores,25.0,237.482,0,0,0,0,0,0,2.81888056015e-10,0
JUN,NOR1983-1997F,Azores,25.0,237.482,0,0,0,0,0,0,2.7090920947e-10,0
JUL,NOR1983-1997F,Azores,25.0,237.482,0,0,0,0,0,0,2.3566160844e-10,0
AUG,NOR1983-1997F,Azores,25.0,237.482,0,0,0,0,0,0,2.52126917193e-10,0
SEP,NOR1983-1997F,Azores,25.0,237.482,0,0,0,0,0,0,1.7330716736e-10,0
OCT,NOR1983-1997F,Azores,25.0,237.482,0,0,0,0,0,0,2.68276778175e-10,0
NOV,NOR1983-1997F,Azores,25.0,237.482,0,0,0,0,0,0,3.08146811752e-10,0
DEC,NOR1983-1997F,Azores,25.0,237.482,0,0,0,0,0,0,2.32753450982e-10,0
JAN,Azores,southwest of Australia,27.0,315.188,0,0,0,0,0,0,2.72663025889e-10,0
FEB,Azores,southwest of Australia,27.0,315.188,0,0,0,0,0,0,3.07581523583e-10,0
MAR,Azores,southwest of Australia,27.0,315.188,0,0,0,0,0,0,2.02010665117e-10,0
APR,Azores,southwest of Australia,27.0,315.188,0,0,0,0,0,0,2.82099947591e-10,0
MAY,Azores,southwest of Australia,27.0,315.188,0,0,0,0,0,0,1.91619436289e-10,0
JUN,Azores,southwest of Australia,27.0,315.188,0,0,0,0,0,0,2.51066401862e-10,0
JUL,Azores,southwest of Australia,27.0,315.188,0,0,0,0,0,0,2.07112417796e-10,0
AUG,Azores,southwest of Australia,27.0,315.188,0,0,0,0,0,0,1.80155121573e-10,0
SEP,Azores,southwest of Australia,27.0,315.188,0,0,0,0,0,0,1.90176829105e-10,0
OCT,Azores,southwest of Australia,27.0,315.188,0,0,0,0,0,0,2.46923807122e-10,0
NOV,Azores,southwest of Australia,27.0,315.188,0,0,0,0,0,0,3.38286302136e-10,0
DEC,Azores,southwest of Australia,27.0,315.188,0,0,0,0,0,0,3.36220176205e-10,0
JAN,SAM1983-1999F,Marion Island/Prince Edward Island (DOE),32.0,237.081,0,0,0,0,0,0,2.9796620138e-10,0
FEB,SAM1983-1999F,Marion Island/Prince Edward Island (DOE),32.0,237.081,0,0,0,0,0,0,3.68381792611e-10,0
MAR,SAM1983-1999F,Marion Island/Prince Edward Island (DOE),32.0,237.081,0,0,0,0,0,0,4.09528994739e-10,0
APR,SAM1983-1999F,Marion Island/Prince Edward Island (DOE),32.0,237.081,0,0,0,0,0,0,3.57632389836e-10,0
MAY,SAM1983-1999F,Marion Island/Prince Edward Island (DOE),32.0,237.081,0,0,0,0,0,0,3.63388298358e-10,0
JUN,SAM1983-1999F,Marion Island/Prince Edward Island (DOE),32.0,237.081,0,0,0,0,0,0,4.21293876341e-10,0
JUL,SAM1983-1999F,Marion Island/Prince Edward Island (DOE),32.0,237.081,0,0,0,0,0,0,3.2068712797e-10,0
