month,site,site.long.name,lat,lon,MOA,TOA,BC,SO4,NCL,DST,smSS,total.aerosol
DEC,Ice_91-97_M_NG,"Oahu, Hawaii: North Pacific",13.0,174.06,0.177879601717,0.326076865196,0.00936359073967,0.199627757072,13.8446130753,0.214985489845,0.196410909295,14.8767318726
JAN,Invercargill1983-1996,"RSMAS, Univ. of Miami: Whatman-41, Hi-Vol",-46.43,350.15,0.169689387083,0.207692086697,0.0028296164237,0.334046244621,15.3856267929,0.351871579885,0.206132248044,16.6232509613
FEB,Invercargill1983-1996,"RSMAS, Univ. of Miami: Whatman-41, Hi-Vol",-46.43,350.15,0.185790032148,0.21574857831,0.0018764862325,0.416447073221,15.3490095139,0.342819094658,0.22294421494,16.2602729797
MAR,Invercargill1983-1996,"RSMAS, Univ. of Miami: Whatman-41, Hi-Vol",-46.43,350.15,0.123616151512,0.136081308126,0.000734600995202,0.109937354922,16.6945343018,0.356036663055,0.210039258003,17.1927890778
APR,Invercargill1983-1996,"RSMAS, Univ. of Miami: Whatman-41, Hi-Vol",-46.43,350.15,0.0965394452214,0.102938361466,0.000996588962153,0.0834097266197,15.029624939,0.497412055731,0.180378824472,15.3638324738
MAY,Invercargill1983-1996,"RSMAS, Univ. of Miami: Whatman-41, Hi-Vol",-46.43,350.15,0.0782988220453,0.0893941298127,0.00110499432776,0.0290447436273,12.5071401596,0.190324217081,0.137241959572,12.7953510284
JUN,Invercargill1983-1996,"RSMAS, Univ. of Miami: Whatman-41, Hi-Vol",-46.43,350.15,0.0788717642426,0.087264329195,0.0010546426056,0.00915495958179,19.2428226471,0.150021001697,0.211639747024,19.4610519409
JUL,Invercargill1983-1996,"RSMAS, Univ. of Miami: Whatman-41, Hi-Vol",-46.43,350.15,0.0741699635983,0.0783151835203,0.00271242717281,0.0151135837659,18.6025295258,0.149416401982,0.209471926093,18.9103908539
AUG,Invercargill1983-1996,"RSMAS, Univ. of Miami: Whatman-41, Hi-Vol",-46.43,350.15,0.0823284089565,0.0942787230015,0.00361901894212,0.0178591348231,17.2625026703,0.281424671412,0.194633439183,17.640871048
SEP,Invercargill1983-1996,"RSMAS, Univ. of Miami: Whatman-41, Hi-Vol",-46.43,350.15,0.0788559243083,0.0885478705168,0.0013927211985,0.0277359560132,17.0913333893,0.172848075628,0.197804108262,17.4410877228
OCT,Invercargill1983-1996,"RSMAS, Univ. of Miami: Whatman-41, Hi-Vol",-46.43,350.15,0.0829101353884,0.0926056355238,0.000865381676704,0.0637463703752,11.1032085419,0.473441779613,0.128941386938,11.4630889893
NOV,Invercargill1983-1996,"RSMAS, Univ. of Miami: Whatman-41, Hi-Vol",-46.43,350.15,0.0958617627621,0.10887400806,0.000853175006341,0.0927500873804,7.53652906418,0.833169102669,0.0882769599557,8.00241947174
DEC,Invercargill1983-1996,"RSMAS, Univ. of Miami: Whatman-41, Hi-Vol",-46.43,350.15,0.150588989258,0.168979555368,0.00109389051795,0.368773460388,16.7305030823,0.792677164078,0.219789460301,18.0596752167
JAN,NOR1983-1997F,"Barbados Tower, Whatman 41, Hi-Vol",-41.28,18.48,0.144299373031,0.169506728649,0.00290902657434,0.360046178102,11.8185873032,0.185754358768,0.151556432247,12.5819969177
FEB,NOR1983-1997F,"Barbados Tower, Whatman 41, Hi-Vol",-41.28,18.48,0.155865341425,0.199138715863,0.00348778464831,0.600762963295,10.3590326309,0.521598160267,0.138784661889,11.5381088257
MAR,NOR1983-1997F,"Barbados Tower, Whatman 41, Hi-Vol",-41.28,18.48,0.158275350928,0.200976580381,0.00115364266094,0.25508120656,12.1967792511,0.18285574019,0.150050133467,12.823515892
APR,NOR1983-1997F,"Barbados Tower, Whatman 41, Hi-Vol",-41.28,18.48,0.154058754444,0.191172912717,0.001798982732,0.115832284093,7.21647453308,0.578388929367,0.0820062756538,8.01419830322
MAY,NOR1983-1997F,"Barbados Tower, Whatman 41, Hi-Vol",-41.28,18.48,0.118565745652,0.147347673774,0.00311109586619,0.106653861701,19.5007972717,0.382521510124,0.222134619951,19.9686012268
JUN,NOR1983-1997F,"Barbados Tower, Whatman 41, Hi-Vol",-41.28,18.48,0.0933382734656,0.109804198146,0.00379318022169,0.0742175430059,17.2021579742,0.557054519653,0.185209602118,18.2151260376
JUL,NOR1983-1997F,"Barbados Tower, Whatman 41, Hi-Vol",-41.28,18.48,0.0947520658374,0.118279121816,0.0140233784914,0.170991152525,10.0134057999,2.8202214241,0.104632049799,10.9401416779
AUG,NOR1983-1997F,"Barbados Tower, Whatman 41, Hi-Vol",-41.28,18.48,0.0989565104246,0.186804950237,0.00484193768352,0.0456068404019,17.3730545044,0.403475224972,0.183579325676,18.0476646423
SEP,NOR1983-1997F,"Barbados Tower, Whatman 41, Hi-Vol",-41.28,18.48,0.105338543653,0.148419946432,0.00499753467739,0.0860941559076,12.608745575,0.235896453261,0.137362554669,13.423830986
OCT,NOR1983-1997F,"Barbados Tower, Whatman 41, Hi-Vol",-41.28,18.48,0.127475470304,0.159440025687,0.00159147009254,0.0559425130486,8.14103507996,0.219126388431,0.0856468677521,8.66519165039
NOV,NOR1983-1997F,"Barbados Tower, Whatman 41, Hi-Vol",-41.28,18.48,0.118131317198,0.139689236879,0.000954456743784,0.103706263006,6.54406023026,0.296209812164,0.0692391470075,7.05448865891
DEC,NOR1983-1997F,"Barbados Tower, Whatman 41, Hi-Vol",-41.28,18.48,0.16255967319,0.197902053595,0.00154460081831,0.381395757198,13.3601865768,0.408160328865,0.170878201723,14.6542339325
JAN,FAN1981-1986C,Falkland Islands (Mount Pleasant) (DOE),-46.92,128.25,0.167909502983,0.186779379845,0.00266320747323,0.434780210257,19.9126758575,0.289051473141,0.299179464579,20.5610198975
FEB,FAN1981-1986C,Falkland Islands (Mount Pleasant) (DOE),-46.92,128.25,0.186553239822,0.199305430055,0.00113162770867,0.373496830463,21.4682292938,0.241333693266,0.306581556797,22.1712474823
MAR,FAN1981-1986C,Falkland Islands (Mount Pleasant) (DOE),-46.92,128.25,0.172452375293,0.191269278526,0.00058850820642,0.112090192735,17.4014873505,0.13789743185,0.245563775301,17.9745082855
APR,FAN1981-1986C,Falkland Islands (Mount Pleasant) (DOE),-46.92,128.25,0.145107239485,0.166526675224,0.000921459810343,0.0759361460805,25.6567306519,0.170659139752,0.363341540098,26.592710495
MAY,FAN1981-1986C,Falkland Islands (Mount Pleasant) (DOE),-46.92,128.25,0.134200051427,0.178967982531,0.00130042305682,0.0510320551693,14.2994279861,0.633416712284,0.183846727014,16.462896347
JUN,FAN1981-1986C,Falkland Islands (Mount Pleasant) (DOE),-46.92,128.25,0.0913897231221,0.115605264902,0.00129029178061,0.0302426703274,19.3977737427,0.633564293385,0.227537482977,19.8693313599
JUL,FAN1981-1986C,Falkland Islands (Mount Pleasant) (DOE),-46.92,128.25,0.0674290060997,0.0781764090061,0.00315875606611,0.0412429831922,12.1954193115,0.840713322163,0.130375102162,12.3942785263
AUG,FAN1981-1986C,Falkland Islands (Mount Pleasant) (DOE),-46.92,128.25,0.0809196978807,0.103558510542,0.0025178308133,0.0132599016652,18.0662212372,0.116110250354,0.190955966711,18.7832145691
SEP,FAN1981-1986C,Falkland Islands (Mount Pleasant) (DOE),-46.92,128.25,0.0719790384173,0.0897236764431,0.00332193402573,0.0247017480433,18.9355239868,0.236349612474,0.209800124168,19.0762004852
OCT,FAN1981-1986C,Falkland Islands (Mount Pleasant) (DOE),-46.92,128.25,0.0924075096846,0.109456270933,0.000738256028853,0.0321412906051,12.7540483475,0.30469083786,0.133957728744,13.1644916534
NOV,FAN1981-1986C,Falkland Islands (Mount Pleasant) (DOE),-46.92,128.25,0.0922226011753,0.107614398003,0.000508022669237,0.0802265778184,10.930314064,0.0871459022164,0.121845334768,11.2405633926
DEC,FAN1981-1986C,Falkland Islands (Mount Pleasant) (DOE),-46.92,128.25,0.153961494565,0.171171411872,0.000327311834553,0.226136311889,13.0531167984,0.0946210771799,0.166230380535,14.0982122421
JAN,OAH1981-1995F,Marion Island/Prince Edward Island (DOE),-62.18,167.98,0.160433605313,0.162812769413,0.000173459819052,0.146106928587,8.72612190247,0.0621424950659,0.133979901671,9.07101535797
FEB,OAH1981-1995F,Marion Island/Prince Edward Island (DOE),-62.18,167.98,0.201172634959,0.207910984755,0.000197744404431,0.0886450558901,10.8546915054,0.0592274814844,0.165584445,11.2899122238
MAR,OAH1981-1995F,Marion Island/Prince Edward Island (DOE),-62.18,167.98,0.1555865556,0.159828543663,0.000689308275469,0.115246199071,24.6880149841,0.118570819497,0.418008357286,25.045135498
APR,OAH1981-1995F,Marion Island/Prince Edward Island (DOE),-62.18,167.98,0.10954965651,0.111907839775,0.000405130675063,0.0511378496885,21.593170166,0.101374827325,0.326736301184,21.9018344879
MAY,OAH1981-1995F,Marion Island/Prince Edward Island (DOE),-62.18,167.98,0.0786392837763,0.0800809711218,0.000384956016205,0.0188640747219,24.3442058563,0.142304092646,0.360519051552,24.4928264618
JUN,OAH1981-1995F,Marion Island/Prince Edward Island (DOE),-62.18,167.98,0.0648010522127,0.0666415169835,0.000415913527831,0.00693232845515,11.2420854568,0.126605793834,0.140762031078,11.359960556
JUL,OAH1981-1995F,Marion Island/Prince Edward Island (DOE),-62.18,167.98,0.0610859282315,0.0652617812157,0.00081877305638,0.0102206189185,10.6215667725,0.176434621215,0.133855804801,10.8357982635
