
	BEGIN	END	AVG_CL	AVG_NO|	AVG_SO4	AVG_NA	AVG_SEASALT	AVG_ASSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4
	5-3-1995	05-May-1995	2.903	1.835	2.894	2.611	8.492	2.237	#N/A	#N/A	#N/A	0.9231
	5-5-1995	12-May-1995	1.976	0.563	0.911	1.555	5.055	0.520	#N/A	#N/A	#N/A	0.2119
	5-12-1995	19-May-1995	1.543	0.802	2.228	1.226	3.988	1.920	#N/A	#N/A	#N/A	0.5767
	5-19-1995	26-May-1995	0.547	0.127	0.389	0.442	1.437	0.278	#N/A	#N/A	#N/A	0.1185
	5-26-1995	02-Jun-1995	3.156	0.917	1.899	2.131	6.931	1.363	#N/A	#N/A	#N/A	0.3859
	6-2-1995	09-Jun-1995	7.053	0.989	1.369	4.298	13.978	0.287	#N/A	#N/A	#N/A	0.1014
	6-9-1995	15-Jun-1995	11.741	0.355	1.721	6.556	21.320	0.071	#N/A	#N/A	#N/A	0.0415
	6-15-1995	23-Jun-1995	3.914	0.594	1.122	2.382	7.746	0.522	#N/A	#N/A	#N/A	0.1694
	6-23-1995	30-Jun-1995	3.229	0.614	1.116	2.109	6.857	0.585	#N/A	#N/A	#N/A	0.1839
	6-30-1995	07-Jul-1995	14.723	0.782	2.361	8.240	26.795	0.287	#N/A	#N/A	#N/A	0.1001
	7-7-1995	14-Jul-1995	11.003	0.234	1.576	6.250	20.324	0.003	#N/A	#N/A	#N/A	0.0341
	7-14-1995	21-Jul-1995	7.338	0.431	1.432	4.294	13.963	0.351	#N/A	#N/A	#N/A	0.0952
	7-21-1995	28-Jul-1995	7.398	0.339	1.347	4.196	13.644	0.291	#N/A	#N/A	#N/A	0.1007
	7-28-1995	04-Aug-1995	1.623	0.470	1.175	1.172	3.812	0.880	#N/A	#N/A	#N/A	0.2824
	8-4-1995	10-Aug-1995	4.743	0.119	0.914	2.784	9.055	0.213	#N/A	#N/A	#N/A	0.0621
	8-10-1995	18-Aug-1995	0.637	0.240	0.665	0.559	1.818	0.525	#N/A	#N/A	#N/A	0.1913
	8-18-1995	25-Aug-1995	10.922	0.672	2.462	6.797	22.103	0.751	#N/A	#N/A	#N/A	0.2681
	8-25-1995	01-Sep-1995	8.695	0.772	1.650	5.417	17.615	0.287	#N/A	#N/A	#N/A	0.1362
	9-1-1995	08-Sep-1995	3.082	0.252	0.828	1.943	6.317	0.339	#N/A	#N/A	#N/A	0.1172
	9-8-1995	15-Sep-1995	0.243	0.066	0.389	0.221	0.718	0.333	#N/A	#N/A	#N/A	0.1076
	9-15-1995	22-Sep-1995	5.794	0.606	1.623	3.665	11.920	0.701	#N/A	#N/A	#N/A	0.1611
	9-22-1995	29-Sep-1995	4.696	0.567	1.298	2.906	9.451	0.566	#N/A	#N/A	#N/A	0.1675
	9-29-1995	06-Oct-1995	7.250	0.387	1.338	4.158	13.523	0.292	#N/A	#N/A	#N/A	0.0750
	10-6-1995	13-Oct-1995	10.894	0.366	1.852	6.245	20.308	0.281	#N/A	#N/A	#N/A	0.0805
	10-13-1995	20-Oct-1995	9.731	0.813	2.207	5.609	18.241	0.795	#N/A	#N/A	#N/A	0.2712
	10-20-1995	27-Oct-1995	9.941	0.173	1.700	5.567	18.103	0.299	#N/A	#N/A	#N/A	0.1047
	10-27-1995	03-Nov-1995	5.301	0.430	1.507	3.224	10.483	0.696	#N/A	#N/A	#N/A	0.1894
