
	DATE	N_CL	AVG_CL	STD_CL	MED_CL	P16_CL	P84_CL	N_NO3	AVG_NO3	STD_NO3	MED_NO3	P16_NO3	P84_NO3	N_SO4	AVG_SO4	STD_SO4	MED_SO4	P16_SO4	P84_SO4	N_NA	AVG_NA	STD_NA	MED_NA	P16_NA	P84_NA	N_NSSSO4	AVG_NSSSO4	STD_NSSSO4	MED_NSSSO4	P16_NSSSO4	P84_NSSSO4	N_MSA	AVG_MSA	STD_MSA	MED_MSA	P16_MSA	P84_MSA	N_DUST	AVG_DUST	STD_DUST	MED_DUST	P16_DUST	P84_DUST	N_NH4	AVG_NH4	STD_NH4	MED_NH4	P16_NH4	P84_NH4
	3-1-1993	27	4.595	1.994	5.050	2.173	6.234	27	2.180	1.994	1.383	0.791	3.572	27	3.205	1.934	2.776	1.643	4.834	27	2.857	1.118	2.861	1.772	3.941	27	2.486	2.059	1.786	0.799	4.299	0						27	1.134	0.818	0.979	0.213	1.961	27	0.974	1.026	0.747	0.195	1.500
	4-1-1993	24	4.212	2.687	3.403	2.588	5.636	24	2.737	2.435	1.854	1.434	3.595	24	4.019	1.233	4.339	2.852	5.130	24	3.201	1.452	2.796	2.394	4.429	24	3.214	1.314	3.305	1.864	4.336	0						24	1.965	0.806	2.021	1.151	2.913	24	1.042	0.636	0.923	0.503	1.591
	5-1-1993	30	3.919	2.326	3.326	2.094	7.325	30	1.975	1.074	1.582	0.954	3.857	30	3.773	2.184	2.484	2.242	6.048	30	3.114	1.276	2.720	2.371	4.748	30	2.990	2.287	1.896	1.057	5.261	0						30	1.457	0.662	1.242	0.658	2.219	30	0.777	0.583	0.726	0.198	1.079
	6-1-1993	29	3.153	1.677	3.297	1.427	5.017	29	1.531	0.941	1.228	0.933	1.841	29	2.211	0.975	1.943	1.646	2.552	29	2.154	0.862	2.213	1.317	3.030	29	1.669	1.026	1.369	1.036	2.175	0						29	17.523	30.778	3.988	0.523	41.056	29	0.499	0.407	0.352	0.216	0.707
	7-1-1993	28	3.509	2.271	3.095	1.587	4.453	28	2.238	1.280	1.575	1.192	3.413	28	2.761	1.423	2.394	1.688	3.835	28	2.368	1.346	2.314	1.355	2.860	28	2.165	1.466	1.845	1.163	2.594	0						28	25.349	13.719	22.811	11.533	36.284	28	0.580	0.434	0.404	0.258	1.042
	8-1-1993	27	3.969	2.336	3.881	1.786	5.460	27	2.165	1.893	1.320	0.860	2.931	27	3.145	2.467	2.594	0.971	4.141	27	2.716	1.409	2.728	1.224	3.443	27	2.462	2.370	2.004	0.517	2.758	0						27	22.719	26.032	12.393	1.783	42.484	27	0.625	0.617	0.384	0.240	1.127
	9-1-1993	28	2.842	1.344	2.202	1.819	4.454	28	1.037	0.555	0.988	0.694	1.424	28	1.929	0.496	2.044	1.325	2.213	28	2.225	0.729	2.106	1.438	2.963	28	1.369	0.546	1.514	0.913	1.560	0						28	2.568	1.454	2.934	0.773	3.967	28	0.210	0.288	0.112	0.049	0.348
	10-1-1993	21	2.724	1.448	3.252	0.884	4.255	21	2.520	2.691	1.292	0.848	3.477	21	2.438	1.330	2.185	1.447	3.393	21	1.991	0.638	1.828	1.329	2.729	21	1.937	1.435	1.646	0.797	3.028	0						21	0.966	0.558	0.966	0.265	1.452	21	0.907	0.637	0.511	0.358	1.608
	11-1-1993	26	4.305	2.206	4.485	1.087	6.614	26	1.786	0.985	2.076	0.585	2.439	26	2.529	0.800	2.167	1.760	3.450	26	2.857	1.243	2.983	1.008	4.242	26	1.809	0.831	1.913	0.806	2.554	0						26	0.442	0.349	0.321	0.135	0.725	26	0.704	0.471	0.853	0.217	1.213
	12-1-1993	23	4.737	2.825	4.325	2.627	6.129	23	2.888	3.942	2.353	1.036	2.878	23	2.701	1.010	2.625	1.866	3.424	23	3.117	1.630	3.155	1.690	3.948	23	1.916	0.817	1.632	1.199	2.630	0						23	1.244	2.115	0.412	0.270	1.335	23	0.888	0.945	0.725	0.572	0.828
