
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_NSSSO4	AVG_MSA	_NA	_V	_AL	_PB210
	11-3-1983	11-10-1983	3.717 	0.152 	1.449 	2.276 	0.876 	#N/A	2.3 	#N/A	9.36 	0.111 
	11-10-1983	11-17-1983	5.940 	0.136 	1.827 	3.337 	0.987 	#N/A	4.1 	#N/A	2.84 	0.099 
	11-17-1983	11-24-1983	6.654 	0.109 	1.738 	3.841 	0.771 	#N/A	3.7 	#N/A	1.01 	0.072 
	11-24-1983	12-3-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-3-1983	12-8-1983	4.913 	0.144 	1.335 	2.873 	0.612 	#N/A	8.7 	#N/A	2.77 	0.141 
	12-8-1983	12-15-1983	8.642 	0.117 	1.916 	4.970 	0.665 	#N/A	4.5 	#N/A	0.94 	0.056 
	12-15-1983	12-22-1983	5.926 	0.192 	1.810 	3.523 	0.923 	#N/A	2.8 	#N/A	0.20 	0.087 
	12-22-1983	12-29-1983	8.413 	0.148 	1.735 	4.931 	0.494 	#N/A	5.8 	0.055 	3.95 	0.123 
	12-29-1983	1-5-1984	5.650 	0.115 	1.446 	3.303 	0.615 	#N/A	3.2 	#N/A	1.44 	0.093 
	1-5-1984	1-12-1984	12.592 	0.134 	2.237 	7.239 	0.415 	#N/A	3.4 	#N/A	5.43 	0.099 
	1-12-1984	1-19-1984	9.117 	0.124 	1.937 	5.230 	0.620 	#N/A	4.9 	#N/A	4.51 	0.121 
	1-19-1984	1-26-1984	9.686 	0.147 	2.181 	5.600 	0.772 	#N/A	5.4 	0.028 	3.16 	0.113 
	1-26-1984	2-2-1984	5.874 	0.142 	1.453 	3.442 	0.587 	#N/A	2.6 	#N/A	1.69 	0.102 
	2-2-1984	2-10-1984	8.045 	0.127 	1.911 	4.672 	0.735 	#N/A	4.5 	0.078 	0.20 	0.072 
	2-10-1984	2-16-1984	4.089 	0.082 	0.958 	2.357 	0.364 	#N/A	2.4 	0.032 	1.63 	0.054 
	2-16-1984	3-1-1984	11.925 	0.124 	1.821 	6.815 	0.106 	#N/A	5.5 	0.028 	8.26 	0.097 
	3-1-1984	3-8-1984	9.183 	0.133 	0.991 	5.361 	-0.359 	#N/A	8.6 	0.162 	29.78 	0.139 
	3-8-1984	3-15-1984	18.003 	0.299 	3.566 	10.097 	1.025 	#N/A	8.2 	0.121 	60.12 	0.169 
