
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4	_NA	_V	_AL	_BE7	_PB210
	2-26-1983	3-22-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-22-1983	3-30-1983	6.358	0.470	1.639	3.590	0.735	#N/A	#N/A	1.620	#N/A	3.9	0.320	129.6	#N/A	#N/A
	3-30-1983	4-6-1983	7.486	0.537	1.831	4.359	0.734	#N/A	#N/A	0.990	#N/A	4.5	0.212	79.2	#N/A	#N/A
	4-6-1983	4-13-1983	6.763	0.308	2.056	3.867	1.083	#N/A	#N/A	0.880	#N/A	4.5	0.181	70.4	#N/A	#N/A
	4-13-1983	4-20-1983	8.814	0.334	1.904	4.875	0.677	#N/A	#N/A	2.002	#N/A	5.1	0.402	160.2	#N/A	#N/A
	4-20-1983	4-27-1983	7.759	0.267	1.604	4.254	0.533	#N/A	#N/A	0.860	#N/A	5.2	0.130	68.8	#N/A	#N/A
	4-27-1983	5-4-1983	10.714	0.459	2.450	6.664	0.772	#N/A	#N/A	1.700	#N/A	6.6	0.353	136.0	#N/A	#N/A
	5-4-1983	5-11-1983	8.282	0.290	1.740	4.810	0.529	#N/A	#N/A	2.334	#N/A	4.2	0.329	186.7	#N/A	#N/A
	5-11-1983	5-18-1983	7.621	0.202	1.486	4.426	0.372	#N/A	#N/A	0.346	#N/A	4.6	0.117	27.7	#N/A	#N/A
	5-18-1983	5-29-1983	4.490	0.461	1.246	2.535	0.608	#N/A	#N/A	0.675	#N/A	2.8	0.298	54.0	#N/A	#N/A
	5-29-1983	6-19-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-19-1983	2-11-1984	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-11-1984	2-18-1984	8.665	0.140	1.506	4.991	0.250	#N/A	#N/A	1.428	#N/A	4.4	0.491	114.2	#N/A	#N/A
	2-18-1984	2-26-1984	11.519	0.146	1.876	6.324	0.284	#N/A	#N/A	0.311	#N/A	7.2	0.125	24.9	#N/A	#N/A
	2-26-1984	3-3-1984	0.470	0.041	0.152	0.253	0.088	#N/A	#N/A	1.295	#N/A	0.2	0.459	103.6	#N/A	#N/A
	3-3-1984	3-10-1984	7.652	0.092	2.499	4.687	1.320	#N/A	#N/A	3.368	#N/A	4.9	1.904	269.4	#N/A	#N/A
	3-10-1984	3-16-1984	6.111	0.593	3.924	4.334	2.832	#N/A	#N/A	2.734	#N/A	4.4	0.541	218.7	#N/A	#N/A
	3-16-1984	3-22-1984	7.797	0.502	1.764	4.404	0.655	#N/A	#N/A	4.885	#N/A	3.8	0.976	390.8	#N/A	#N/A
	3-22-1984	3-30-1984	9.682	0.304	1.755	5.587	0.349	#N/A	#N/A	1.852	#N/A	5.3	0.346	148.1	#N/A	#N/A
	3-30-1984	4-7-1984	10.212	0.390	1.900	5.940	0.404	#N/A	#N/A	0.955	#N/A	5.5	0.231	76.4	#N/A	#N/A
	4-7-1984	4-15-1984	10.973	0.248	1.962	6.398	0.352	#N/A	#N/A	0.792	#N/A	6.0	0.142	63.4	#N/A	#N/A
	4-15-1984	4-20-1984	10.812	0.207	1.893	6.224	0.326	#N/A	#N/A	0.408	#N/A	5.8	0.144	32.7	#N/A	#N/A
	4-20-1984	4-27-1984	10.124	0.448	2.004	5.909	0.517	#N/A	#N/A	0.788	#N/A	5.2	0.283	63.1	#N/A	#N/A
	4-27-1984	5-5-1984	9.255	0.272	1.728	5.341	0.383	#N/A	#N/A	1.898	#N/A	5.2	0.295	151.8	#N/A	#N/A
	5-5-1984	5-13-1984	4.609	0.205	0.927	2.577	0.278	#N/A	#N/A	0.875	#N/A	2.5	0.109	70.0	#N/A	#N/A
	5-13-1984	5-20-1984	8.431	0.291	1.707	4.870	0.481	#N/A	#N/A	1.723	#N/A	4.9	0.242	137.8	#N/A	#N/A
	5-20-1984	5-31-1984	8.257	0.352	1.632	4.745	0.438	#N/A	#N/A	1.456	#N/A	5.1	0.261	116.5	#N/A	#N/A
	5-31-1984	6-3-1984	7.013	0.219	1.414	4.070	0.390	#N/A	#N/A	0.575	#N/A	4.4	0.151	46.0	#N/A	#N/A
	6-3-1984	6-10-1984	5.543	0.218	1.188	3.167	0.391	#N/A	#N/A	0.281	#N/A	3.4	0.136	22.5	#N/A	#N/A
	6-10-1984	6-20-1984	8.588	0.338	1.700	4.981	0.446	#N/A	#N/A	0.359	#N/A	5.6	0.132	28.7	#N/A	#N/A
	6-20-1984	6-24-1984	9.721	0.314	1.811	5.456	0.438	#N/A	#N/A	0.375	#N/A	5.1	0.088	30.0	#N/A	#N/A
	6-24-1984	7-3-1984	4.883	0.233	1.091	2.942	0.351	#N/A	#N/A	0.312	#N/A	3.4	0.189	25.0	#N/A	#N/A
	7-3-1984	7-8-1984	4.157	0.216	1.096	2.401	0.492	#N/A	#N/A	0.207	#N/A	2.7	0.106	16.5	#N/A	#N/A
	7-8-1984	7-15-1984	5.281	0.402	1.355	3.012	0.596	#N/A	#N/A	0.254	#N/A	3.4	0.179	20.4	#N/A	#N/A
	7-15-1984	7-25-1984	6.606	0.416	1.515	3.867	0.542	#N/A	#N/A	0.111	#N/A	3.1	0.098	8.9	#N/A	#N/A
	7-25-1984	8-7-1984	5.528	0.198	1.092	3.092	0.314	#N/A	#N/A	0.132	#N/A	5.1	0.039	10.6	#N/A	#N/A
	8-7-1984	8-17-1984	6.048	0.224	1.128	3.385	0.276	#N/A	#N/A	0.073	#N/A	3.6	0.066	5.8	#N/A	#N/A
	8-17-1984	8-22-1984	2.800	0.335	0.895	1.742	0.456	#N/A	#N/A	0.126	#N/A	1.8	0.024	10.1	#N/A	#N/A
	8-22-1984	8-28-1984	8.804	0.302	1.785	4.825	0.571	#N/A	#N/A	0.093	#N/A	4.4	0.078	7.5	#N/A	#N/A
	8-28-1984	9-2-1984	4.371	0.148	1.178	2.483	0.553	#N/A	#N/A	0.114	#N/A	2.6	0.034	9.1	#N/A	#N/A
	9-2-1984	9-9-1984	3.554	0.190	0.832	2.040	0.318	#N/A	#N/A	0.113	#N/A	2.1	0.081	9.0	#N/A	#N/A
	9-9-1984	9-16-1984	3.531	0.343	0.957	2.088	0.431	#N/A	#N/A	0.167	#N/A	2.4	0.124	13.4	#N/A	#N/A
	9-16-1984	9-23-1984	1.586	0.331	0.718	1.065	0.450	#N/A	#N/A	0.151	#N/A	1.1	0.112	12.1	#N/A	#N/A
	9-23-1984	9-29-1984	5.101	0.273	1.229	2.888	0.502	#N/A	#N/A	0.068	#N/A	2.8	0.039	5.4	#N/A	#N/A
