
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_SEASALT	AVG_SO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4
	8-21-1989	8-28-1989	2.378	0.055	0.702	1.401	4.556	0.350	#N/A	#N/A	#N/A	0.0889
	8-28-1989	9-4-1989	4.632	0.099	1.123	2.671	8.686	0.451	#N/A	#N/A	#N/A	0.1066
	9-4-1989	9-11-1989	4.836	0.074	1.224	2.900	9.430	0.494	#N/A	#N/A	#N/A	0.0595
	9-11-1989	9-18-1989	3.911	0.119	1.071	2.343	7.618	0.481	#N/A	#N/A	#N/A	0.1039
	9-18-1989	9-25-1989	5.436	0.072	0.914	3.162	10.282	0.119	#N/A	#N/A	#N/A	0.0236
	9-25-1989	10-2-1989	5.499	0.156	1.468	3.389	11.022	0.615	#N/A	#N/A	#N/A	0.2076
	10-2-1989	10-9-1989	5.930	0.140	1.212	3.470	11.284	0.338	#N/A	#N/A	#N/A	0.0576
	10-9-1989	10-16-1989	5.180	0.112	1.112	3.009	9.784	0.355	#N/A	#N/A	#N/A	0.0379
	10-16-1989	10-23-1989	3.472	0.133	0.938	2.041	6.637	0.424	#N/A	#N/A	#N/A	0.0545
	10-23-1989	10-30-1989	4.005	0.032	0.851	2.376	7.727	0.253	#N/A	#N/A	#N/A	0.0666
	10-30-1989	11-6-1989	4.464	0.086	0.924	2.598	8.449	0.270	#N/A	#N/A	#N/A	0.0428
	11-6-1989	11-13-1989	2.082	0.080	0.810	1.295	4.211	0.484	#N/A	#N/A	#N/A	0.1118
	11-13-1989	11-20-1989	3.941	0.059	0.916	2.382	7.746	0.317	#N/A	#N/A	#N/A	0.0489
	11-20-1989	11-27-1989	4.298	0.115	0.910	2.541	8.262	0.270	#N/A	#N/A	#N/A	0.0465
	11-27-1989	12-4-1989	2.612	0.099	0.960	1.650	5.364	0.545	#N/A	#N/A	#N/A	0.1389
	12-4-1989	12-11-1989	3.789	0.077	1.037	2.502	8.138	0.407	#N/A	#N/A	#N/A	0.0547
	12-11-1989	12-18-1989	3.804	0.080	1.127	2.296	7.465	0.549	#N/A	#N/A	#N/A	0.1341
	12-18-1989	12-25-1989	2.935	0.091	0.789	1.802	5.862	0.335	#N/A	#N/A	#N/A	0.0525
	12-25-1989	1-1-1990	3.618	0.073	0.971	2.243	7.295	0.407	#N/A	#N/A	#N/A	0.0759
	1-1-1990	1-8-1990	3.762	0.062	1.061	2.275	7.397	0.488	#N/A	#N/A	#N/A	0.0850
	1-8-1990	1-15-1990	4.184	0.104	1.120	2.424	7.882	0.510	#N/A	#N/A	#N/A	0.0707
	1-15-1990	1-22-1990	2.205	0.094	0.661	1.296	4.215	0.335	#N/A	#N/A	#N/A	0.0503
	1-22-1990	1-29-1990	2.207	0.080	0.765	1.303	4.239	0.437	#N/A	#N/A	#N/A	0.0827
	1-29-1990	2-5-1990	2.449	0.095	0.778	1.404	4.566	0.425	#N/A	#N/A	#N/A	0.0652
	2-5-1990	2-12-1990	6.121	0.116	1.478	3.572	11.615	0.579	#N/A	#N/A	#N/A	0.0886
	2-12-1990	2-19-1990	3.335	0.116	1.048	2.040	6.635	0.534	#N/A	#N/A	#N/A	0.0810
	2-19-1990	2-26-1990	2.689	0.219	1.126	1.690	5.497	0.700	#N/A	#N/A	#N/A	0.0825
	2-26-1990	3-5-1990	3.025	0.067	0.828	1.747	5.681	0.388	#N/A	#N/A	#N/A	0.0542
	3-5-1990	3-12-1990	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-12-1990	3-19-1990	3.483	0.085	0.919	1.928	6.270	0.434	#N/A	#N/A	#N/A	0.0747
	3-19-1990	3-26-1990	5.751	0.089	1.137	3.297	10.721	0.307	#N/A	#N/A	#N/A	0.0407
	3-26-1990	4-2-1990	4.461	0.074	0.998	2.580	8.389	0.349	#N/A	#N/A	#N/A	0.0447
	4-2-1990	4-9-1990	3.184	0.068	0.735	1.836	5.972	0.273	#N/A	#N/A	#N/A	0.0369
	4-9-1990	4-16-1990	2.024	0.040	0.689	1.508	4.903	0.309	#N/A	#N/A	#N/A	0.0603
	4-16-1990	4-23-1990	4.868	0.045	0.991	2.610	8.486	0.334	#N/A	#N/A	#N/A	0.0302
	4-23-1990	4-30-1990	4.025	0.051	1.073	2.312	7.518	0.491	#N/A	#N/A	#N/A	0.0745
	4-30-1990	5-7-1990	3.528	0.158	0.995	2.003	6.515	0.490	#N/A	#N/A	#N/A	0.0579
	5-7-1990	5-14-1990	2.157	0.068	0.793	1.213	3.945	0.487	#N/A	#N/A	#N/A	0.0866
	5-14-1990	5-21-1990	3.178	0.044	0.918	1.752	5.696	0.478	#N/A	#N/A	#N/A	0.0716
	5-21-1990	5-28-1990	4.464	0.080	1.293	2.614	8.502	0.635	#N/A	#N/A	#N/A	0.0674
	5-28-1990	6-4-1990	4.273	0.072	0.971	2.401	7.807	0.366	#N/A	#N/A	#N/A	0.0519
	6-4-1990	6-11-1990	4.925	0.033	1.040	2.915	9.479	0.306	#N/A	#N/A	#N/A	0.0218
	6-11-1990	6-18-1990	3.572	0.074	0.935	2.083	6.775	0.410	#N/A	#N/A	#N/A	0.0555
	6-18-1990	6-25-1990	3.451	0.053	1.003	1.963	6.382	0.509	#N/A	#N/A	#N/A	0.0898
	6-25-1990	7-2-1990	6.199	0.290	1.840	3.517	11.436	0.955	#N/A	#N/A	#N/A	0.3273
	7-2-1990	7-9-1990	5.142	0.139	1.587	2.960	9.626	0.842	#N/A	#N/A	#N/A	0.2243
	7-9-1990	7-16-1990	4.952	0.101	1.248	2.810	9.138	0.541	#N/A	#N/A	#N/A	0.1209
	7-16-1990	7-23-1990	3.217	0.058	0.936	1.873	6.090	0.465	#N/A	#N/A	#N/A	0.0842
	7-23-1990	7-30-1990	3.022	0.089	1.031	1.755	5.706	0.590	#N/A	#N/A	#N/A	0.1260
	7-30-1990	8-6-1990	4.165	0.118	1.188	2.369	7.703	0.592	#N/A	#N/A	#N/A	0.1362
	8-6-1990	8-13-1990	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
