
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_SEASALT	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4	_NA	_V	_AL	_BE7	_PB210
	9-2-1982	9-9-1982	11.579	0.161	1.990	6.395	20.796	0.380	#N/A	#N/A	0.260	#N/A	5.30	#N/A	20.8	#N/A	#N/A
	9-9-1982	9-16-1982	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-16-1982	9-23-1982	17.586	0.349	2.581	9.854	32.045	0.101	#N/A	#N/A	0.152	#N/A	8.50	#N/A	12.2	#N/A	#N/A
	9-23-1982	9-30-1982	5.193	0.133	0.996	2.939	9.558	0.256	#N/A	#N/A	0.143	#N/A	5.60	0.265	11.4	#N/A	#N/A
	9-30-1982	10-7-1982	18.453	0.177	2.875	9.884	32.142	0.387	#N/A	#N/A	0.095	#N/A	14.80	#N/A	7.6	#N/A	#N/A
	10-7-1982	10-14-1982	11.613	0.448	2.778	6.820	22.178	1.061	#N/A	#N/A	0.631	#N/A	18.50	#N/A	50.5	#N/A	#N/A
	10-14-1982	10-21-1982	12.194	0.260	2.228	6.731	21.888	0.534	#N/A	#N/A	0.225	#N/A	3.90	#N/A	18.0	#N/A	#N/A
	10-21-1982	10-28-1982	11.316	0.286	1.980	6.454	20.990	0.356	#N/A	#N/A	0.104	#N/A	10.90	0.212	8.3	#N/A	#N/A
	10-28-1982	11-4-1982	14.114	0.316	2.541	7.709	25.069	0.600	#N/A	#N/A	1.446	#N/A	4.20	0.208	115.7	#N/A	#N/A
	11-4-1982	11-11-1982	13.533	0.127	1.932	7.386	24.019	0.073	#N/A	#N/A	0.363	#N/A	7.90	0.123	29.0	#N/A	#N/A
	11-11-1982	11-18-1982	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-18-1982	11-25-1982	12.334	0.266	2.187	6.769	22.013	0.484	#N/A	#N/A	1.856	#N/A	5.60	0.400	148.5	#N/A	#N/A
	11-25-1982	12-2-1982	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-2-1982	12-9-1982	9.360	0.175	1.967	5.226	16.995	0.652	#N/A	#N/A	0.403	#N/A	5.70	0.150	32.2	#N/A	#N/A
	12-9-1982	12-16-1982	10.124	0.331	1.942	5.646	18.361	0.521	#N/A	#N/A	0.839	#N/A	4.70	0.206	67.1	#N/A	#N/A
	12-16-1982	12-23-1982	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-23-1982	12-30-1982	15.883	0.270	2.784	8.788	28.579	0.572	#N/A	#N/A	0.276	#N/A	6.40	#N/A	22.1	#N/A	#N/A
	12-30-1982	1-6-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-6-1983	1-13-1983	12.440	0.185	1.895	6.794	22.096	0.185	#N/A	#N/A	0.203	#N/A	5.70	0.127	16.3	#N/A	#N/A
	1-13-1983	1-20-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-20-1983	1-27-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-27-1983	2-3-1983	17.847	0.311	3.130	9.861	32.069	0.648	#N/A	#N/A	0.555	#N/A	8.40	#N/A	44.4	#N/A	#N/A
	2-3-1983	2-10-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-10-1983	2-17-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-17-1983	2-24-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-24-1983	3-3-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-3-1983	3-10-1983	12.200	0.201	1.882	6.596	21.451	0.222	#N/A	#N/A	0.253	#N/A	6.60	#N/A	20.2	#N/A	#N/A
	3-10-1983	3-17-1983	13.106	0.372	2.889	7.105	23.106	1.101	#N/A	#N/A	1.831	#N/A	5.30	0.412	146.5	#N/A	#N/A
	3-17-1983	3-24-1983	9.021	0.396	2.363	5.031	16.360	1.096	#N/A	#N/A	4.190	#N/A	5.80	0.370	335.2	#N/A	#N/A
	3-24-1983	3-31-1983	13.097	0.359	3.036	7.424	24.144	1.167	#N/A	#N/A	5.396	#N/A	7.00	0.883	431.7	#N/A	#N/A
	3-31-1983	4-7-1983	10.829	0.651	4.032	6.289	20.452	2.449	0.0228	#N/A	4.846	#N/A	5.70	1.000	387.7	#N/A	#N/A
	4-7-1983	4-14-1983	16.690	0.155	1.860	9.560	31.089	-0.546	0.0240	#N/A	1.896	#N/A	8.30	0.343	151.7	#N/A	#N/A
	4-14-1983	4-21-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-21-1983	4-28-1983	17.020	0.268	2.604	8.982	29.209	0.343	0.0447	#N/A	0.615	#N/A	6.50	0.131	49.2	#N/A	#N/A
	4-28-1983	5-5-1983	12.156	0.342	2.537	6.678	21.718	0.856	0.0367	#N/A	1.610	#N/A	7.50	0.253	128.8	#N/A	#N/A
	5-5-1983	5-12-1983	6.166	0.414	1.783	3.757	12.219	0.838	0.0285	#N/A	1.885	#N/A	3.50	0.318	150.8	#N/A	#N/A
	5-12-1983	5-19-1983	5.094	0.490	1.801	3.194	10.385	0.997	0.0435	#N/A	1.525	#N/A	3.50	0.198	122.0	#N/A	#N/A
	5-19-1983	5-26-1983	6.802	0.373	2.115	4.403	14.319	1.006	#N/A	#N/A	0.787	#N/A	7.50	0.318	63.0	#N/A	#N/A
	5-26-1983	6-2-1983	4.266	0.436	2.182	2.896	9.417	1.453	#N/A	#N/A	1.009	#N/A	3.50	0.137	80.7	#N/A	#N/A
	6-2-1983	6-9-1983	4.956	0.063	0.742	2.720	8.846	0.057	#N/A	#N/A	0.133	#N/A	1.60	0.185	10.7	#N/A	#N/A
	6-9-1983	6-16-1983	4.145	0.375	1.278	2.530	8.227	0.641	#N/A	#N/A	1.175	#N/A	2.50	0.265	94.0	#N/A	#N/A
	6-16-1983	6-23-1983	9.645	0.327	2.136	5.778	18.791	0.682	#N/A	#N/A	0.574	#N/A	5.20	0.150	45.9	#N/A	#N/A
	6-23-1983	6-30-1983	8.416	0.271	1.819	4.512	14.673	0.683	#N/A	#N/A	0.161	#N/A	4.30	#N/A	12.9	#N/A	#N/A
	6-30-1983	7-7-1983	9.545	0.128	1.803	5.663	18.418	0.377	#N/A	#N/A	0.066	#N/A	4.60	#N/A	5.3	#N/A	#N/A
	7-7-1983	7-14-1983	2.492	0.079	0.479	1.390	4.522	0.129	#N/A	#N/A	0.091	#N/A	2.10	#N/A	7.3	#N/A	#N/A
	7-14-1983	7-21-1983	9.494	0.117	1.531	5.633	18.317	0.113	#N/A	#N/A	0.226	#N/A	5.30	0.110	18.1	#N/A	#N/A
	7-21-1983	7-28-1983	7.229	0.188	1.627	4.610	14.990	0.467	#N/A	#N/A	0.070	#N/A	5.70	#N/A	5.6	#N/A	#N/A
	7-28-1983	8-4-1983	5.523	0.082	0.903	3.183	10.350	0.102	#N/A	#N/A	0.014	#N/A	2.90	0.098	1.1	#N/A	#N/A
	8-4-1983	8-11-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-11-1983	8-18-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-18-1983	8-25-1983	3.239	0.005	0.428	1.775	5.771	-0.019	#N/A	#N/A	0.458	#N/A	1.50	0.064	36.6	#N/A	#N/A
	8-25-1983	9-1-1983	11.169	0.078	1.708	6.596	21.452	0.047	#N/A	#N/A	0.036	#N/A	5.70	#N/A	2.8	#N/A	#N/A
	9-1-1983	9-8-1983	14.697	0.122	2.326	9.076	29.515	0.042	0.0208	#N/A	0.082	#N/A	10.20	0.097	6.5	#N/A	#N/A
	9-8-1983	9-15-1983	10.986	0.089	1.477	6.085	19.787	-0.055	0.0191	#N/A	0.046	#N/A	3.80	#N/A	3.7	#N/A	#N/A
	9-15-1983	9-22-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-22-1983	9-29-1983	4.141	0.184	0.968	2.376	7.727	0.370	#N/A	#N/A	0.253	#N/A	2.40	0.143	20.3	#N/A	#N/A
	9-29-1983	10-6-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-6-1983	10-13-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-13-1983	10-20-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-20-1983	10-27-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
