
	DATE	N_CL	AVG_CL	STD_CL	MED_CL	P16_CL	P84_CL	N_NO3	AVG_NO3	STD_NO3	MED_NO3	P16_NO3	P84_NO3	N_SO4	AVG_SO4	STD_SO4	MED_SO4	P16_SO4	P84_SO4	N_NA	AVG_NA	STD_NA	MED_NA	P16_NA	P84_NA	N_NSSSO4	AVG_NSSSO4	STD_NSSSO4	MED_NSSSO4	P16_NSSSO4	P84_NSSSO4	N_MSA	AVG_MSA	STD_MSA	MED_MSA	P16_MSA	P84_MSA	N_DUST	AVG_DUST	STD_DUST	MED_DUST	P16_DUST	P84_DUST	N_NH4	AVG_NH4	STD_NH4	MED_NH4	P16_NH4	P84_NH4
	1-1-1989	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!
	2-1-1989	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!
	10-1-1991	24	8.026 	4.238 	7.597 	4.732 	9.987 	24	1.290 	1.179 	0.893 	0.269 	2.353 	24	3.482 	2.039 	2.804 	1.581 	5.552 	24	4.805 	2.254 	4.605 	2.790 	6.113 	23	2.278 	2.079 	1.656 	0.482 	4.151 	16	0.0250 	0.0112 	0.0270 	0.0146 	0.0342 	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	24	0.3886 	0.5084 	0.2560 	0.1382 	0.4620 
	11-1-1991	22	5.995 	3.533 	5.584 	2.728 	8.930 	22	1.321 	0.808 	1.052 	0.623 	2.107 	22	2.896 	1.127 	2.797 	1.947 	3.881 	22	3.843 	1.661 	3.275 	2.388 	5.478 	22	1.929 	1.206 	1.540 	0.882 	3.128 	17	0.0236 	0.0149 	0.0190 	0.0117 	0.0363 	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	22	0.2849 	0.1217 	0.2329 	0.1790 	0.4022 
	12-1-1991	27	5.887 	3.637 	5.002 	3.222 	7.836 	27	1.374 	1.316 	1.029 	0.574 	1.763 	27	2.657 	0.894 	2.714 	1.655 	3.490 	27	3.811 	2.168 	3.272 	2.455 	4.810 	26	1.698 	0.641 	1.577 	0.899 	2.193 	22	0.0160 	0.0107 	0.0118 	0.0071 	0.0285 	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	27	0.2074 	0.1023 	0.1842 	0.1242 	0.3039 
	1-1-1992	27	10.314 	9.473 	6.770 	4.656 	13.130 	27	1.299 	0.693 	1.164 	0.847 	2.058 	27	3.574 	1.889 	3.215 	2.410 	4.813 	27	6.555 	5.660 	4.574 	3.160 	8.398 	24	1.931 	1.031 	1.616 	0.993 	3.001 	26	0.0083 	0.0046 	0.0069 	0.0056 	0.0117 	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	27	0.2264 	0.1231 	0.1970 	0.1237 	0.3570 
	2-1-1992	23	10.168 	5.166 	8.997 	5.504 	12.048 	23	1.033 	0.544 	1.076 	0.463 	1.376 	23	3.145 	1.463 	2.969 	1.537 	4.224 	23	6.021 	2.889 	5.442 	3.121 	7.680 	21	1.546 	0.983 	1.525 	0.737 	2.028 	20	0.0172 	0.0142 	0.0118 	0.0055 	0.0337 	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	23	0.2254 	0.1442 	0.1611 	0.1263 	0.3645 
	3-1-1992	26	8.138 	4.254 	6.949 	4.443 	13.763 	26	1.454 	0.603 	1.385 	0.762 	2.047 	26	4.250 	1.074 	3.776 	3.559 	5.132 	25	5.062 	2.160 	4.391 	3.389 	7.715 	25	2.981 	1.370 	2.620 	1.523 	4.263 	24	0.0170 	0.0083 	0.0158 	0.0086 	0.0251 	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	26	0.4527 	0.2694 	0.4404 	0.2036 	0.6854 
	4-1-1992	16	8.709 	9.260 	4.949 	2.181 	20.002 	16	1.226 	0.569 	1.213 	0.525 	1.906 	16	4.171 	1.363 	4.118 	2.851 	4.910 	16	5.420 	4.809 	4.027 	1.858 	11.194 	13	3.201 	1.516 	3.091 	2.112 	4.412 	16	0.0314 	0.0226 	0.0267 	0.0066 	0.0493 	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	16	0.4024 	0.3003 	0.3989 	0.0693 	0.5816 
	5-1-1992	29	5.882 	5.759 	4.503 	1.003 	7.572 	29	0.844 	0.673 	0.569 	0.309 	1.277 	29	3.259 	3.413 	1.648 	1.245 	4.816 	29	3.567 	3.120 	2.656 	0.836 	5.025 	27	2.506 	3.652 	1.002 	0.352 	4.561 	19	0.0598 	0.0255 	0.0550 	0.0365 	0.0831 	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	29	0.4099 	0.3970 	0.2215 	0.1321 	0.7231 
	6-1-1992	27	6.175 	3.341 	6.857 	2.561 	7.783 	27	0.616 	0.300 	0.596 	0.346 	0.888 	27	2.183 	1.028 	1.978 	1.284 	3.092 	27	3.599 	1.856 	3.774 	1.383 	4.701 	27	1.277 	0.886 	1.019 	0.794 	1.478 	23	0.0467 	0.0228 	0.0426 	0.0349 	0.0598 	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	27	0.2001 	0.1687 	0.1444 	0.0892 	0.2331 
	7-1-1992	28	4.102 	2.236 	3.408 	2.018 	6.848 	28	1.264 	0.574 	1.364 	0.733 	1.727 	28	3.478 	1.879 	2.997 	2.079 	4.843 	28	2.830 	1.235 	2.421 	1.835 	4.531 	28	2.765 	1.826 	2.463 	1.327 	3.643 	28	0.0599 	0.0210 	0.0654 	0.0441 	0.0813 	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	28	0.3366 	0.2489 	0.2906 	0.1449 	0.4534 
