
	DATE	N_CL	AVG_CL	STD_CL	MED_CL	P16_CL	P84_CL	N_NO3	AVG_NO3	STD_NO3	MED_NO3	P16_NO3	P84_NO3	N_SO4	AVG_SO4	STD_SO4	MED_SO4	P16_SO4	P84_SO4	N_NA	AVG_NA	STD_NA	MED_NA	P16_NA	P84_NA	N_NSSSO4	AVG_NSSSO4	_NSSSO4BIO	_NSSSO4NBIO	STD_NSSSO4	MED_NSSSO4	P16_NSSSO4	P84_NSSSO4	N_MSA	AVG_MSA	STD_MSA	MED_MSA	P16_MSA	P84_MSA	N_DUST	AVG_DUST	STD_DUST	MED_DUST	P16_DUST	P84_DUST	N_NH4	AVG_NH4	STD_NH4	MED_NH4	P16_NH4	P84_NH4
	5-1-1991	25	1.121	1.612	0.458	0.262	1.814	25	0.953	0.572	0.746	0.516	1.504	25	1.754	2.533	0.690	0.422	2.927	25	0.798	1.220	0.283	0.186	1.291	25	1.553	0.088	1.465	2.244	0.558	0.408	2.801	20	0.0049	0.0018	0.0043	0.0032	0.0068	23	34.32	85.64	1.34	0.74	46.76	25	0.237	0.177	0.149	0.113	0.418
	6-1-1991	18	0.531	0.613	0.236	0.165	0.967	18	1.028	0.564	0.816	0.548	1.772	18	1.162	1.292	0.482	0.261	2.775	18	0.512	0.577	0.222	0.186	0.960	18	1.033	0.068	0.964	1.163	0.432	0.214	2.542	16	0.0038	0.0040	0.0021	0.0015	0.0058	18	32.16	59.50	0.77	0.48	89.25	18	0.265	0.303	0.119	0.075	0.629
	7-1-1991	21	0.498	0.454	0.294	0.189	0.960	21	1.226	0.569	1.063	0.659	1.840	21	1.244	1.071	0.900	0.301	2.291	21	0.456	0.341	0.309	0.206	0.864	21	1.129	0.086	1.042	1.000	0.811	0.249	2.165	19	0.0048	0.0020	0.0046	0.0025	0.0069	18	35.86	68.68	6.36	1.04	44.34	21	0.360	0.270	0.299	0.094	0.686
	8-1-1991	17	0.771	0.776	0.416	0.187	1.712	17	1.202	0.620	1.231	0.601	1.732	17	1.353	1.617	0.757	0.403	2.341	17	0.612	0.517	0.363	0.226	1.220	17	1.199	0.057	1.142	1.504	0.543	0.321	2.126	10	0.0032	0.0015	0.0025	0.0022	0.0047	11	47.34	71.18	8.14	2.90	113.48	17	0.418	0.419	0.327	0.083	0.665
	9-1-1991	25	0.704	0.528	0.567	0.254	0.985	25	1.069	0.452	1.001	0.607	1.608	25	1.207	0.878	0.822	0.390	2.072	25	0.592	0.427	0.458	0.262	0.827	25	1.058	0.105	0.953	0.857	0.726	0.322	1.960	20	0.0058	0.0027	0.0054	0.0030	0.0090	17	35.17	44.87	17.25	0.44	77.72	25	0.407	0.368	0.293	0.101	0.620
	10-1-1991	22	0.746	0.804	0.549	0.188	1.342	22	0.527	0.414	0.422	0.240	0.836	21	0.599	0.526	0.437	0.196	0.945	22	0.613	0.640	0.382	0.170	1.125	21	0.439	0.079	0.360	0.396	0.356	0.151	0.750	15	0.0044	0.0033	0.0036	0.0023	0.0062	16	4.11	9.01	0.78	0.17	4.77	22	0.315	0.289	0.248	0.080	0.526
	11-1-1991	15	0.541	0.359	0.421	0.195	0.955	15	0.547	0.344	0.474	0.271	0.981	15	0.475	0.400	0.367	0.213	0.544	15	0.500	0.354	0.343	0.213	0.968	15	0.349	0.058	0.292	0.371	0.188	0.147	0.365	11	0.0032	0.0015	0.0026	0.0018	0.0046	10	4.23	6.84	1.33	0.28	9.94	15	0.154	0.119	0.118	0.061	0.281
	12-1-1991	5	0.395	0.259	0.426	0.170	0.611	5	0.510	0.275	0.527	0.274	0.768	5	0.372	0.174	0.404	0.235	0.496	5	0.418	0.224	0.444	0.231	0.574	5	0.267	0.059	0.208	0.143	0.227	0.171	0.381	4	0.0032	0.0019	0.0026	0.0019	0.0046	4	3.89	2.87	3.98	1.43	6.34	5	0.209	0.186	0.154	0.043	0.392
	1-1-1992	8	0.672	0.409	0.668	0.234	1.143	8	1.220	1.073	0.939	0.288	2.240	8	0.838	0.509	0.842	0.256	1.327	8	0.594	0.469	0.513	0.161	0.941	8	0.688	0.072	0.616	0.453	0.689	0.208	1.069	5	0.0040	0.0019	0.0028	0.0026	0.0060	3	72.42	42.71	90.63	45.07	99.04	7	0.330	0.295	0.278	0.071	0.426
	2-1-1992	13	0.892	1.508	0.344	0.134	1.110	13	0.567	0.610	0.307	0.159	0.968	13	1.047	1.542	0.367	0.163	1.943	13	0.745	1.242	0.366	0.173	0.828	13	0.859	0.044	0.814	1.248	0.257	0.112	1.746	7	0.0025	0.0005	0.0025	0.0021	0.0029	9	28.48	38.99	4.49	1.38	69.55	13	0.272	0.302	0.116	0.069	0.481
