
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_SEASALT	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4
	8-9-1995	8-16-1995	0.996	0.046	0.224	0.771	2.506	0.030	#N/A	#N/A	#N/A	0.0583
	8-16-1995	8-23-1995	1.322	0.030	0.371	0.915	2.977	0.141	#N/A	#N/A	#N/A	0.0428
	8-23-1995	8-30-1995	2.299	0.023	0.444	1.472	4.786	0.073	#N/A	#N/A	#N/A	0.0617
	8-30-1995	9-6-1995	2.745	0.027	0.540	1.517	4.933	0.158	#N/A	#N/A	#N/A	0.0332
	9-6-1995	9-13-1995	0.852	0.023	0.177	0.527	1.713	0.044	#N/A	#N/A	#N/A	0.0188
	9-13-1995	9-20-1995	0.547	0.031	0.157	0.385	1.251	0.060	#N/A	#N/A	#N/A	0.0221
	9-20-1995	9-27-1995	2.480	0.033	0.491	1.471	4.785	0.120	#N/A	#N/A	#N/A	0.0353
	9-27-1995	10-4-1995	4.131	0.019	0.698	2.423	7.880	0.088	#N/A	#N/A	#N/A	0.0251
	10-4-1995	10-11-1995	1.440	0.011	0.330	1.043	3.391	0.068	#N/A	#N/A	#N/A	0.0251
	10-11-1995	10-18-1995	2.312	0.032	0.515	1.577	5.128	0.119	#N/A	#N/A	#N/A	0.0582
	10-18-1995	10-25-1995	1.727	0.034	0.377	1.175	3.821	0.081	#N/A	#N/A	#N/A	0.0433
	10-25-1995	11-1-1995	1.597	0.019	0.411	1.103	3.588	0.134	#N/A	#N/A	#N/A	0.0367
	11-1-1995	11-8-1995	2.426	0.009	0.510	1.795	5.837	0.058	#N/A	#N/A	#N/A	0.0444
	11-8-1995	11-15-1995	8.874	0.053	1.387	5.002	16.265	0.128	#N/A	#N/A	#N/A	0.0872
	11-15-1995	11-22-1995	5.206	0.028	1.142	3.467	11.276	0.270	#N/A	#N/A	#N/A	0.1987
	11-22-1995	11-29-1995	4.130	0.019	0.717	2.615	8.505	0.058	#N/A	#N/A	#N/A	0.0758
	11-29-1995	12-6-1995	3.020	0.017	0.710	1.814	5.900	0.254	#N/A	#N/A	#N/A	0.0874
	12-6-1995	12-13-1995	2.715	0.014	0.736	1.638	5.325	0.324	#N/A	#N/A	#N/A	0.1557
	12-13-1995	12-20-1995	4.810	0.021	1.169	2.726	8.866	0.482	#N/A	#N/A	#N/A	0.2572
	12-20-1995	12-27-1995	3.821	0.018	1.046	2.310	7.513	0.464	#N/A	#N/A	#N/A	0.0567
	12-27-1995	1-3-1996	1.280	0.009	0.373	0.932	3.031	0.138	#N/A	#N/A	#N/A	0.0649
	1-3-1996	1-10-1996	0.860	0.010	0.386	0.678	2.205	0.215	#N/A	#N/A	#N/A	0.0611
	1-10-1996	1-17-1996	1.920	0.018	0.559	1.387	4.512	0.210	#N/A	#N/A	#N/A	0.1571
	1-17-1996	1-24-1996	1.423	0.004	0.364	1.046	3.400	0.101	#N/A	#N/A	#N/A	0.0466
	1-24-1996	3-6-1996	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-6-1996	3-13-1996	7.254	0.017	1.127	4.262	13.860	0.054	#N/A	#N/A	#N/A	0.0599
	3-13-1996	3-20-1996	5.451	0.012	0.901	3.175	10.325	0.101	#N/A	#N/A	#N/A	0.0522
	3-20-1996	3-30-1996	2.300	0.008	0.469	1.376	4.474	0.122	#N/A	#N/A	#N/A	0.0378
	3-30-1996	4-3-1996	1.041	0.007	0.250	0.726	2.361	0.068	#N/A	#N/A	#N/A	0.0392
	4-3-1996	4-10-1996	1.941	0.009	0.392	1.304	4.240	0.064	#N/A	#N/A	#N/A	0.0348
	4-10-1996	4-17-1996	1.132	0.008	0.261	0.776	2.522	0.066	#N/A	#N/A	#N/A	0.0381
	4-17-1996	4-24-1996	2.078	0.013	0.425	1.405	4.570	0.072	#N/A	#N/A	#N/A	0.0370
	4-24-1996	6-26-1996	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-26-1996	7-5-1996	8.979	0.030	1.106	5.118	16.644	-0.182	#N/A	#N/A	#N/A	0.1322
	7-5-1996	7-10-1996	2.320	0.007	0.445	1.571	5.109	0.049	#N/A	#N/A	#N/A	0.0275
	7-10-1996	7-17-1996	8.753	0.017	1.389	5.048	16.417	0.119	#N/A	#N/A	#N/A	0.0340
	7-17-1996	7-25-1996	1.891	0.006	0.307	1.247	4.057	-0.007	#N/A	#N/A	#N/A	0.0153
	7-25-1996	8-3-1996	9.398	0.034	1.354	5.259	17.102	0.031	#N/A	#N/A	#N/A	0.0246
	8-3-1996	8-7-1996	1.933	0.009	0.447	1.299	4.224	0.120	#N/A	#N/A	#N/A	0.0292
	8-7-1996	8-14-1996	2.011	0.019	0.353	1.365	4.438	0.010	#N/A	#N/A	#N/A	0.0233
	8-14-1996	8-21-1996	1.548	0.007	0.268	1.032	3.357	0.008	#N/A	#N/A	#N/A	0.0083
	8-21-1996	8-28-1996	1.871	0.014	0.333	1.185	3.855	0.035	#N/A	#N/A	#N/A	0.0176
	8-28-1996	9-4-1996	1.334	0.011	0.217	0.859	2.793	0.001	#N/A	#N/A	#N/A	0.0078
	9-4-1996	9-11-1996	0.528	0.005	0.094	0.357	1.161	0.005	#N/A	#N/A	#N/A	0.0065
	9-11-1996	9-18-1996	3.195	0.024	0.621	2.031	6.603	0.110	#N/A	#N/A	#N/A	0.0162
	9-18-1996	9-25-1996	2.441	0.004	0.377	1.617	5.258	-0.030	#N/A	#N/A	#N/A	0.0113
