
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_SEASALT	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4
	8-12-1993	8-19-1993	3.471	0.300	1.074	2.126	6.912	0.539	#N/A	#N/A	#N/A	0.1641
	8-19-1993	8-27-1993	7.418	0.231	1.478	4.276	13.905	0.402	#N/A	#N/A	#N/A	0.0751
	8-27-1993	9-3-1993	6.819	0.086	1.068	4.116	13.385	0.033	#N/A	#N/A	#N/A	0.0293
	9-3-1993	9-10-1993	5.526	0.095	1.034	3.132	10.187	0.246	#N/A	#N/A	#N/A	0.0552
	9-10-1993	9-16-1993	2.572	0.165	0.752	1.984	6.453	0.252	#N/A	#N/A	#N/A	0.0670
	9-16-1993	9-23-1993	5.594	0.481	1.534	3.701	12.036	0.603	#N/A	#N/A	#N/A	0.1459
	9-23-1993	9-30-1993	4.710	0.157	1.051	3.039	9.883	0.286	#N/A	#N/A	#N/A	0.0549
	9-30-1993	10-7-1993	6.152	0.233	1.335	3.923	12.757	0.347	#N/A	#N/A	#N/A	0.0779
	10-7-1993	10-14-1993	7.952	0.101	1.432	4.822	15.680	0.219	#N/A	#N/A	#N/A	0.0511
	10-14-1993	10-21-1993	4.956	0.094	0.972	3.148	10.236	0.179	#N/A	#N/A	#N/A	0.0515
	10-21-1993	10-28-1993	4.825	0.324	1.350	3.061	9.955	0.580	#N/A	#N/A	#N/A	0.1610
	10-28-1993	11-4-1993	3.091	0.550	1.458	2.200	7.155	0.905	#N/A	#N/A	#N/A	0.1842
	11-4-1993	11-11-1993	5.652	0.430	1.548	3.680	11.966	0.622	#N/A	#N/A	#N/A	0.1589
	11-11-1993	11-18-1993	5.335	0.357	1.331	3.663	11.912	0.409	#N/A	#N/A	#N/A	0.0939
	11-18-1993	11-25-1993	5.995	0.169	1.299	3.642	11.843	0.382	#N/A	#N/A	#N/A	0.0866
	11-25-1993	12-2-1993	4.925	0.291	1.301	3.223	10.480	0.490	#N/A	#N/A	#N/A	0.1157
	12-2-1993	12-9-1993	2.719	0.103	1.097	1.627	5.291	0.687	#N/A	#N/A	#N/A	0.0777
	12-9-1993	12-16-1993	8.431	0.220	1.726	5.279	17.166	0.397	#N/A	#N/A	#N/A	0.1439
	12-16-1993	12-23-1993	5.672	0.132	1.251	3.505	11.398	0.369	#N/A	#N/A	#N/A	0.0716
