
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_NH4	_NA	_AL	_DUST	_BE7	_PB210	_PB210
	2-28-1985	3-7-1985	67.139	0.238	10.152	36.452	0.977	#N/A	#N/A	#N/A	34.0	9.8	122.5	3.223	#N/A	#N/A
	3-7-1985	3-14-1985	94.883	0.050	13.334	51.225	0.441	#N/A	#N/A	#N/A	33.5	2.9	36.3	2.288	#N/A	#N/A
	3-14-1985	3-21-1985	57.323	0.052	7.976	31.107	0.146	#N/A	#N/A	#N/A	33.0	10.4	130.0	2.205	#N/A	#N/A
	3-21-1985	3-28-1985	#N/A	0.010	10.243	39.581	0.280	#N/A	#N/A	#N/A	35.2	5.5	68.6	3.394	#N/A	#N/A
	3-28-1985	4-4-1985	77.589	0.092	10.823	41.451	0.390	#N/A	#N/A	#N/A	27.4	1.8	22.5	#N/A	#N/A	#N/A
	4-4-1985	4-11-1985	80.746	0.101	10.952	43.009	0.127	#N/A	#N/A	#N/A	32.1	15.9	198.8	1.737	#N/A	#N/A
	4-11-1985	4-18-1985	55.223	0.118	7.706	29.703	0.230	#N/A	#N/A	#N/A	28.0	1.6	20.0	3.591	#N/A	#N/A
	4-18-1985	4-25-1985	83.647	#N/A	10.428	44.613	-0.801	#N/A	#N/A	#N/A	30.5	24.7	308.8	1.102	#N/A	#N/A
	4-25-1985	5-1-1985	53.639	0.040	7.675	29.540	0.239	#N/A	#N/A	#N/A	26.7	7.8	96.9	1.156	#N/A	#N/A
	5-1-1985	5-9-1985	91.510	0.178	10.145	50.584	-2.587	#N/A	#N/A	#N/A	41.6	1.9	23.1	10.382	#N/A	#N/A
	5-9-1985	5-16-1985	104.034	0.125	14.696	36.861	5.418	#N/A	#N/A	#N/A	35.3	17.8	222.1	#N/A	#N/A	#N/A
	5-16-1985	5-23-1985	48.977	0.128	6.896	26.194	0.303	#N/A	#N/A	#N/A	29.4	14.6	182.5	2.706	#N/A	#N/A
	5-23-1985	5-30-1985	39.097	0.095	5.649	34.600	-3.060	#N/A	#N/A	#N/A	26.7	8.2	102.5	2.622	#N/A	#N/A
	5-30-1985	6-6-1985	67.753	0.013	9.476	38.537	-0.224	#N/A	#N/A	#N/A	28.6	2.1	26.3	1.520	#N/A	#N/A
	6-6-1985	6-13-1985	36.402	0.047	5.174	20.893	-0.085	#N/A	#N/A	#N/A	17.4	8.7	108.8	2.155	#N/A	#N/A
	6-13-1985	6-20-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	12.9	#N/A	#N/A	#N/A	#N/A	#N/A
	6-20-1985	6-28-1985	49.684	#N/A	7.036	28.412	-0.115	#N/A	#N/A	#N/A	25.3	5.9	73.8	5.311	#N/A	#N/A
	6-28-1985	7-4-1985	61.575	0.035	8.497	34.611	-0.214	#N/A	#N/A	#N/A	26.3	3.2	40.0	2.121	#N/A	#N/A
	7-4-1985	7-11-1985	85.881	#N/A	11.842	49.083	-0.512	#N/A	#N/A	#N/A	50.0	13.3	166.3	#N/A	#N/A	#N/A
	7-11-1985	7-18-1985	59.480	0.106	8.316	32.404	0.159	#N/A	#N/A	#N/A	27.4	0.2	2.5	5.211	#N/A	#N/A
	7-18-1985	7-25-1985	54.836	0.053	7.696	29.922	0.165	#N/A	#N/A	#N/A	29.4	2.9	36.3	2.689	#N/A	#N/A
	7-25-1985	8-1-1985	82.479	0.116	10.984	42.979	0.166	#N/A	#N/A	#N/A	26.2	4.7	58.8	2.856	#N/A	#N/A
	8-1-1985	8-8-1985	92.284	0.079	12.429	52.127	-0.691	#N/A	#N/A	#N/A	19.8	2.9	36.3	2.773	#N/A	#N/A
	8-8-1985	8-15-1985	85.448	0.077	12.163	46.084	0.563	#N/A	#N/A	#N/A	35.5	6.0	75.0	2.472	#N/A	#N/A
	8-15-1985	8-22-1985	66.609	0.145	9.391	37.241	0.018	#N/A	#N/A	#N/A	36.2	4.2	52.5	4.526	#N/A	#N/A
	8-22-1985	8-29-1985	70.171	0.091	10.038	39.284	0.150	#N/A	#N/A	#N/A	29.8	2.8	35.0	3.775	#N/A	#N/A
	8-29-1985	9-5-1985	53.779	#N/A	7.628	28.615	0.426	#N/A	#N/A	#N/A	33.8	7.0	87.5	2.689	#N/A	#N/A
	9-5-1985	9-12-1985	59.137	0.065	8.356	33.036	0.041	#N/A	#N/A	#N/A	28.9	9.9	123.8	3.758	#N/A	#N/A
	9-12-1985	9-19-1985	50.808	0.119	6.548	26.296	-0.070	#N/A	#N/A	#N/A	24.6	6.7	83.8	2.940	#N/A	#N/A
	9-19-1985	9-26-1985	62.200	0.065	8.937	34.359	0.289	#N/A	#N/A	#N/A	34.8	14.7	183.8	2.605	#N/A	#N/A
	9-26-1985	10-3-1985	67.739	0.180	9.626	36.934	0.330	#N/A	#N/A	#N/A	24.6	4.1	51.3	3.457	#N/A	#N/A
	10-3-1985	10-10-1985	55.619	0.107	8.131	31.624	0.171	#N/A	#N/A	#N/A	24.2	4.5	56.3	4.593	#N/A	#N/A
	10-10-1985	10-17-1985	55.209	0.128	8.121	30.377	0.476	#N/A	#N/A	#N/A	28.2	8.9	111.3	3.892	#N/A	#N/A
	10-17-1985	10-24-1985	75.443	0.093	10.959	41.426	0.532	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2.472	#N/A	#N/A
	10-24-1985	10-31-1985	74.914	0.200	10.687	40.639	0.458	#N/A	#N/A	#N/A	33.7	6.7	83.8	3.741	#N/A	#N/A
	10-31-1985	11-7-1985	69.188	0.159	7.698	36.547	-1.501	#N/A	#N/A	#N/A	25.3	385.0	4812.5	2.206	#N/A	#N/A
	11-7-1985	11-14-1985	76.878	0.139	10.367	44.047	-0.719	#N/A	#N/A	#N/A	56.7	8.1	101.3	2.455	#N/A	#N/A
	11-14-1985	11-22-1985	43.233	0.055	6.119	24.362	-0.013	#N/A	#N/A	#N/A	21.4	6.9	86.3	0.835	#N/A	#N/A
	11-22-1985	11-29-1985	54.276	0.074	7.846	32.035	-0.218	#N/A	#N/A	#N/A	28.7	4.0	50.0	1.837	#N/A	#N/A
	11-29-1985	12-5-1985	58.141	0.193	8.461	34.394	-0.196	#N/A	#N/A	#N/A	28.1	0.2	2.5	3.557	#N/A	#N/A
	12-5-1985	12-12-1985	82.423	0.204	11.854	48.844	-0.440	#N/A	#N/A	#N/A	22.8	2.6	32.5	4.008	#N/A	#N/A
	12-12-1985	12-19-1985	52.323	0.154	7.521	30.978	-0.276	#N/A	#N/A	#N/A	30.1	35.0	437.5	2.188	#N/A	#N/A
	12-19-1985	12-27-1985	56.767	0.099	8.056	33.305	-0.327	#N/A	#N/A	#N/A	20.3	4.4	55.0	2.472	#N/A	#N/A
	12-27-1985	1-4-1986	59.887	0.114	8.419	34.208	-0.191	#N/A	#N/A	#N/A	19.8	4.6	57.5	2.138	#N/A	#N/A
	1-4-1986	1-10-1986	44.787	0.082	6.435	24.773	0.200	#N/A	#N/A	#N/A	24.0	7.2	90.0	1.921	#N/A	#N/A
	1-10-1986	1-16-1986	71.794	0.123	10.697	40.910	0.400	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2.155	#N/A	#N/A
	1-16-1986	1-23-1986	69.223	0.141	9.802	40.954	-0.506	#N/A	#N/A	#N/A	38.5	14.1	176.3	#N/A	#N/A	#N/A
	1-23-1986	1-30-1986	64.880	0.074	9.178	37.520	-0.266	#N/A	#N/A	#N/A	35.0	21.3	266.3	#N/A	#N/A	#N/A
	1-30-1986	2-6-1986	71.512	0.105	10.022	40.544	-0.183	#N/A	#N/A	#N/A	32.6	1.4	17.5	#N/A	#N/A	#N/A
	2-6-1986	2-13-1986	146.092	#N/A	20.275	81.961	-0.354	#N/A	#N/A	#N/A	46.0	17.4	217.5	#N/A	#N/A	#N/A
	2-13-1986	2-20-1986	56.444	0.104	7.972	33.048	-0.346	#N/A	#N/A	#N/A	35.1	8.2	102.5	#N/A	#N/A	#N/A
	2-20-1986	2-27-1986	66.132	0.083	9.109	38.689	-0.629	#N/A	#N/A	#N/A	20.7	5.2	65.0	#N/A	#N/A	#N/A
	2-27-1986	3-6-1986	63.855	0.046	9.145	37.024	-0.174	#N/A	#N/A	#N/A	23.6	6.4	80.0	#N/A	#N/A	#N/A
	3-6-1986	3-13-1986	63.886	0.110	9.171	37.837	-0.353	#N/A	#N/A	#N/A	38.2	2.5	31.3	#N/A	#N/A	#N/A
	3-13-1986	3-20-1986	64.137	0.145	9.058	37.769	-0.449	#N/A	#N/A	#N/A	31.6	2.7	33.8	#N/A	#N/A	#N/A
	3-20-1986	3-27-1986	80.521	0.136	11.033	48.070	-1.066	#N/A	#N/A	#N/A	19.3	3.1	38.8	#N/A	#N/A	#N/A
	3-27-1986	4-3-1986	62.983	0.063	9.110	40.664	-1.125	#N/A	#N/A	#N/A	36.4	7.6	95.0	#N/A	#N/A	#N/A
	4-3-1986	4-10-1986	53.428	#N/A	7.445	31.091	-0.381	#N/A	#N/A	#N/A	37.6	7.8	97.5	#N/A	#N/A	#N/A
	4-10-1986	4-17-1986	52.536	0.080	7.700	30.551	0.011	#N/A	#N/A	#N/A	30.7	0.2	2.5	#N/A	#N/A	#N/A
	4-17-1986	4-24-1986	45.895	0.045	6.609	26.357	-0.025	#N/A	#N/A	#N/A	#N/A	0.2	2.5	#N/A	#N/A	#N/A
	4-24-1986	5-1-1986	79.558	0.063	11.371	45.026	0.038	#N/A	#N/A	#N/A	37.7	18.3	228.8	#N/A	#N/A	#N/A
	5-1-1986	5-8-1986	67.228	0.119	9.478	38.099	-0.112	#N/A	#N/A	#N/A	28.9	9.9	123.8	#N/A	#N/A	#N/A
	5-8-1986	5-15-1986	59.001	0.040	8.399	35.499	-0.536	#N/A	#N/A	#N/A	38.2	37.3	466.3	#N/A	#N/A	#N/A
	5-15-1986	5-22-1986	45.707	0.029	6.096	28.021	-0.957	#N/A	#N/A	#N/A	33.4	8.7	108.8	2.634	#N/A	#N/A
	5-22-1986	5-29-1986	48.317	0.052	6.884	29.064	-0.431	#N/A	#N/A	#N/A	34.0	5.1	63.8	3.909	#N/A	#N/A
	5-29-1986	6-6-1986	54.475	0.098	7.745	33.034	-0.570	#N/A	#N/A	#N/A	25.8	10.3	128.8	3.204	#N/A	#N/A
	6-6-1986	6-12-1986	40.378	0.055	5.729	22.866	-0.026	#N/A	#N/A	#N/A	19.8	3.7	46.3	2.516	#N/A	#N/A
	6-12-1986	6-20-1986	64.929	#N/A	9.074	36.107	-0.014	#N/A	#N/A	#N/A	27.3	20.8	260.0	1.625	#N/A	#N/A
	6-20-1986	6-26-1986	50.947	0.119	7.173	28.487	0.002	#N/A	#N/A	#N/A	14.6	3.2	40.0	0.886	#N/A	#N/A
	6-26-1986	7-3-1986	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.8	#N/A	#N/A	#N/A	#N/A	#N/A
	7-3-1986	7-11-1986	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-11-1986	7-17-1986	52.826	0.042	7.176	30.185	-0.421	#N/A	#N/A	#N/A	29.9	15.5	193.8	2.723	#N/A	#N/A
